state,period_id,transaction_count_difference,transaction_amount_difference,registered_users_difference,registered_merchants_difference
arunachal pradesh,8103,0,-8.392333984375e-05,0,0
arunachal pradesh,8104,0,0.00052642822265625,0,0
arunachal pradesh,8105,0,-0.0002899169921875,0,0
assam,8072,0,2.0265579223632812e-05,0,
assam,8073,0,4.2438507080078125e-05,0,
assam,8074,0,-1.621246337890625e-05,0,0
assam,8075,0,-0.0004024505615234375,0,0
assam,8076,0,-0.00042057037353515625,0,0
assam,8077,0,3.814697265625e-05,0,0
assam,8078,0,-0.0002346038818359375,0,0
assam,8079,0,0.000560760498046875,0,0
assam,8080,0,-0.000244140625,0,0
assam,8081,0,0.000286102294921875,0,0
assam,8082,0,-0.000370025634765625,0,0
assam,8083,0,0.00058746337890625,0,0
assam,8084,0,0.00048065185546875,0,0
assam,8085,0,0.00043487548828125,0,0
assam,8086,0,0.00075531005859375,0,0
assam,8087,0,-0.002105712890625,0,0
assam,8088,0,0.001739501953125,0,0
assam,8089,0,0.0003509521484375,0,0
assam,8090,0,-0.001953125,0,0
assam,8091,0,-0.00555419921875,0,0
assam,8092,0,0.0009765625,0,0
assam,8093,0,-0.001739501953125,0,0
assam,8094,0,-0.00115966796875,0,0
assam,8095,0,0.0010986328125,0,0
assam,8096,0,-0.0013427734375,0,0
assam,8097,0,0.0067138671875,0,0
assam,8098,0,0.00494384765625,0,0
assam,8099,0,0.00042724609375,0,0
assam,8100,0,0.00091552734375,0,0
assam,8101,0,0.000244140625,0,0
assam,8102,0,-0.016845703125,0,0
assam,8103,0,-0.00506591796875,0,0
assam,8104,0,0.0003662109375,0,0
assam,8105,0,0.00372314453125,0,0
bihar,8072,0,0.00019931793212890625,0,0
bihar,8073,0,-0.0008716583251953125,0,0
bihar,8074,0,-0.001468658447265625,0,0
bihar,8075,0,0.00247955322265625,0,0
bihar,8076,0,-0.001129150390625,0,0
bihar,8077,0,-0.00254058837890625,0,0
bihar,8078,0,-0.00032806396484375,0,0
bihar,8079,0,0.0022125244140625,0,0
bihar,8080,0,0.00054931640625,0,0
bihar,8081,0,0.0003662109375,0,0
bihar,8082,0,-0.003875732421875,0,0
bihar,8083,0,-0.00372314453125,0,0
bihar,8084,0,0.0042724609375,0,0
bihar,8085,0,0.00274658203125,0,0
bihar,8086,0,-0.00726318359375,0,0
bihar,8087,0,0.00238037109375,0,0
bihar,8088,0,-0.0047607421875,0,0
bihar,8089,0,0.0008544921875,0,0
bihar,8090,0,0.010986328125,0,0
bihar,8091,0,-0.0020751953125,0,0
bihar,8092,0,0.0048828125,0,0
bihar,8093,0,-0.00048828125,0,0
bihar,8094,0,0.002685546875,0,0
bihar,8095,0,0.00244140625,0,0
bihar,8096,0,0.010498046875,0,0
bihar,8097,0,0.027099609375,0,0
bihar,8098,0,0.008544921875,0,0
bihar,8099,0,-0.001953125,0,0
bihar,8100,0,0.018310546875,0,0
bihar,8101,0,0.02001953125,0,0
bihar,8102,0,0.02978515625,0,0
bihar,8103,0,0.0107421875,0,0
bihar,8104,0,0.0263671875,0,0
bihar,8105,0,0.0,0,0
chandigarh,8072,0,0.0,0,
chandigarh,8073,0,0.0,0,0
chandigarh,8074,0,0.0,0,0
chandigarh,8075,0,0.0,0,0
chandigarh,8076,0,-2.384185791015625e-07,0,0
chandigarh,8077,0,0.0,0,0
chandigarh,8078,0,-4.76837158203125e-07,0,0
chandigarh,8079,0,0.0,0,0
chandigarh,8080,0,0.0,0,0
chandigarh,8081,0,0.0,0,0
chandigarh,8082,0,0.0,0,0
chandigarh,8083,0,-9.5367431640625e-07,0,0
chandigarh,8084,0,0.0,0,0
