state,district,period_id,year,quarter,transactions,value_inr,registered_users,registered_merchants
arunachal pradesh,,8090,2022,3,6325455,13636396793.285019,436558,7280
arunachal pradesh,,8091,2022,4,7474281,14697638125.945652,465208,9833
arunachal pradesh,,8092,2023,1,8416665,16792360774.756207,493307,10591
arunachal pradesh,,8093,2023,2,10917104,20359353648.82662,521967,11544
arunachal pradesh,,8094,2023,3,13227332,21637138207.620934,552339,13508
arunachal pradesh,,8095,2023,4,15084363,24771952971.461708,584620,15170
arunachal pradesh,,8096,2024,1,16868525,26693314814.200375,623413,16887
arunachal pradesh,,8097,2024,2,20110193,30367049709.014652,670071,18807
arunachal pradesh,,8098,2024,3,24519045,31440191935.077065,712965,20805
arunachal pradesh,,8099,2024,4,26790106,34929686801.95984,743265,22873
arunachal pradesh,,8100,2025,1,28407442,36223848602.66401,772957,24793
arunachal pradesh,,8101,2025,2,31151454,38572901830.24858,803428,26579
arunachal pradesh,,8102,2025,3,36334234,42295740825.88502,834455,28636
arunachal pradesh,,8103,2025,4,36103054,43631000044.51788,865553,30529
arunachal pradesh,,8104,2026,1,36174886,43929133553.19525,894421,32620
arunachal pradesh,,8105,2026,2,40632514,47494947481.35698,951240,35125
assam,,8072,2018,1,1295882,1391575090.9188318,449118,
assam,,8073,2018,2,1996901,2752709124.016653,669433,
assam,,8074,2018,3,2726534,4337172377.059211,900297,12
assam,,8075,2018,4,4296227,6693717176.148428,1200972,58
assam,,8076,2019,1,4947555,8430938338.259106,1461630,2157
assam,,8077,2019,2,5585407,10669441203.404137,1719942,6178
assam,,8078,2019,3,6054473,12546298666.063118,1997575,8036
assam,,8079,2019,4,6891858,14599084294.48947,2240183,9805
assam,,8080,2020,1,8674891,18864649389.34545,2534072,11386
assam,,8081,2020,2,11026960,19908371407.600346,2938372,12767
assam,,8082,2020,3,11961802,26368491655.51855,3266212,14007
assam,,8083,2020,4,14784484,36013810212.345345,3615153,18200
assam,,8084,2021,1,17317732,44333318961.29296,3929145,41335
assam,,8085,2021,2,22621193,51853860554.972015,4267940,70790
assam,,8086,2021,3,28693230,64005741457.90784,4661558,115235
assam,,8087,2021,4,35028733,77820924721.56917,5099567,178337
assam,,8088,2022,1,50025695,110373718442.02957,5551092,254792
assam,,8089,2022,2,64800277,127094723035.47563,6021618,312828
assam,,8090,2022,3,84341513,150673177993.96173,6517957,375732
assam,,8091,2022,4,97084626,172386294490.2151,6999042,428380
assam,,8092,2023,1,115216347,212425494987.1329,7478158,468585
assam,,8093,2023,2,139599202,235261543203.49353,7935267,498188
assam,,8094,2023,3,168278113,243468041626.96988,8451423,538577
assam,,8095,2023,4,194352109,285818446041.6975,9011333,574112
assam,,8096,2024,1,222628994,321206875230.3624,9619049,611691
assam,,8097,2024,2,274589008,345236981886.75684,10259479,645880
assam,,8098,2024,3,297749691,333320132729.0125,10865707,683854
assam,,8099,2024,4,333086043,382282177286.4366,11341543,725330
assam,,8100,2025,1,381449165,449262511160.80133,11808496,761966
assam,,8101,2025,2,412522853,444019860093.2911,12266826,794454
assam,,8102,2025,3,454562374,444477731627.2193,12771675,832239
assam,,8103,2025,4,468795161,468243373408.78876,13282617,886076
assam,,8104,2026,1,503481347,522964731937.307,13764766,925132
assam,,8105,2026,2,549125066,519696079352.86957,14095525,984328
bihar,,8072,2018,1,7267806,7318769108.557262,2173873,2
bihar,,8073,2018,2,10434579,15988264138.119148,3075993,4
bihar,,8074,2018,3,16507213,23175783209.3531,3846555,79
bihar,,8075,2018,4,18324599,32563096733.8254,4894391,780
bihar,,8076,2019,1,28578223,44383537984.84218,5903371,47091
bihar,,8077,2019,2,29212818,61070184415.5835,6750778,136642
bihar,,8078,2019,3,29692696,64038814257.19348,7595450,192625
bihar,,8079,2019,4,40967886,89108176121.19955,8557982,237558
bihar,,8080,2020,1,44056833,106616037981.9359,9579162,287792
bihar,,8081,2020,2,53954783,130329505836.33133,10810307,310562
bihar,,8082,2020,3,72779613,175427345182.79007,11972054,376344
bihar,,8083,2020,4,97696608,239429081339.50946,13128377,527212
bihar,,8084,2021,1,111690707,277382314169.3477,14274751,734157
bihar,,8085,2021,2,152928387,374306226227.0451,15401467,873547
bihar,,8086,2021,3,184812122,398169200251.47766,16692841,1100249
bihar,,8087,2021,4,211595139,455873110665.51166,17989043,1305682
bihar,,8088,2022,1,279365074,607780285452.8403,19351497,1548974
bihar,,8089,2022,2,350987405,741819444963.2347,20671708,1703453
bihar,,8090,2022,3,398081452,747732795859.8962,22066926,1848624
bihar,,8091,2022,4,478561642,881147256455.3129,23466284,1983316
bihar,,8092,2023,1,557298485,1037888852800.0654,24855994,1998018
bihar,,8093,2023,2,698546493,1224912261750.1792,26174400,2036559
bihar,,8094,2023,3,743992914,1148004167584.6228,27578408,2114351
bihar,,8095,2023,4,939309620,1436863360578.1116,29113524,2194129
