state,district,year,quarter,period_id,registered_users
andhra pradesh,alluri sitharama raju,2020,4,8083,129991
andhra pradesh,alluri sitharama raju,2021,1,8084,140452
andhra pradesh,alluri sitharama raju,2021,2,8085,151089
andhra pradesh,alluri sitharama raju,2021,3,8086,163627
andhra pradesh,alluri sitharama raju,2021,4,8087,175206
andhra pradesh,alluri sitharama raju,2022,1,8088,185169
andhra pradesh,alluri sitharama raju,2022,2,8089,196346
andhra pradesh,alluri sitharama raju,2022,3,8090,208584
andhra pradesh,alluri sitharama raju,2022,4,8091,220448
andhra pradesh,alluri sitharama raju,2023,1,8092,230524
andhra pradesh,alluri sitharama raju,2023,2,8093,241824
andhra pradesh,alluri sitharama raju,2023,3,8094,254923
andhra pradesh,alluri sitharama raju,2023,4,8095,267597
andhra pradesh,alluri sitharama raju,2024,1,8096,283867
andhra pradesh,alluri sitharama raju,2024,2,8097,300121
andhra pradesh,alluri sitharama raju,2024,3,8098,315619
andhra pradesh,alluri sitharama raju,2024,4,8099,331160
andhra pradesh,alluri sitharama raju,2025,1,8100,344571
andhra pradesh,alluri sitharama raju,2025,2,8101,358648
andhra pradesh,alluri sitharama raju,2025,3,8102,375342
andhra pradesh,alluri sitharama raju,2025,4,8103,390961
andhra pradesh,alluri sitharama raju,2026,1,8104,403857
andhra pradesh,alluri sitharama raju,2026,2,8105,411684
andhra pradesh,anakapalli,2018,1,8072,99229
andhra pradesh,anakapalli,2018,2,8073,128734
andhra pradesh,anakapalli,2018,3,8074,155807
andhra pradesh,anakapalli,2018,4,8075,198136
andhra pradesh,anakapalli,2019,1,8076,239575
andhra pradesh,anakapalli,2019,2,8077,270715
andhra pradesh,anakapalli,2019,3,8078,302431
andhra pradesh,anakapalli,2019,4,8079,340599
andhra pradesh,anakapalli,2020,1,8080,374200
andhra pradesh,anakapalli,2020,2,8081,407071
andhra pradesh,anakapalli,2020,3,8082,442909
andhra pradesh,anakapalli,2020,4,8083,476305
andhra pradesh,anakapalli,2021,1,8084,506214
andhra pradesh,anakapalli,2021,2,8085,535124
andhra pradesh,anakapalli,2021,3,8086,565128
andhra pradesh,anakapalli,2021,4,8087,594966
andhra pradesh,anakapalli,2022,1,8088,621299
andhra pradesh,anakapalli,2022,2,8089,647428
andhra pradesh,anakapalli,2022,3,8090,673433
andhra pradesh,anakapalli,2022,4,8091,699291
andhra pradesh,anakapalli,2023,1,8092,721967
andhra pradesh,anakapalli,2023,2,8093,743427
andhra pradesh,anakapalli,2023,3,8094,765861
andhra pradesh,anakapalli,2023,4,8095,785354
andhra pradesh,anakapalli,2024,1,8096,806984
andhra pradesh,anakapalli,2024,2,8097,830075
andhra pradesh,anakapalli,2024,3,8098,852434
andhra pradesh,anakapalli,2024,4,8099,878163
andhra pradesh,anakapalli,2025,1,8100,901378
andhra pradesh,anakapalli,2025,2,8101,926020
andhra pradesh,anakapalli,2025,3,8102,952317
andhra pradesh,anakapalli,2025,4,8103,975493
andhra pradesh,anakapalli,2026,1,8104,994246
andhra pradesh,anakapalli,2026,2,8105,1005920
andhra pradesh,ananthapuramu,2018,1,8072,137680
andhra pradesh,ananthapuramu,2018,2,8073,186029
andhra pradesh,ananthapuramu,2018,3,8074,228441
andhra pradesh,ananthapuramu,2018,4,8075,286898
andhra pradesh,ananthapuramu,2019,1,8076,343088
andhra pradesh,ananthapuramu,2019,2,8077,388159
andhra pradesh,ananthapuramu,2019,3,8078,433972
andhra pradesh,ananthapuramu,2019,4,8079,487094
andhra pradesh,ananthapuramu,2020,1,8080,539384
andhra pradesh,ananthapuramu,2020,2,8081,593971
andhra pradesh,ananthapuramu,2020,3,8082,652167
andhra pradesh,ananthapuramu,2020,4,8083,708428
andhra pradesh,ananthapuramu,2021,1,8084,755698
andhra pradesh,ananthapuramu,2021,2,8085,802037
andhra pradesh,ananthapuramu,2021,3,8086,849416
andhra pradesh,ananthapuramu,2021,4,8087,895561
andhra pradesh,ananthapuramu,2022,1,8088,937311
andhra pradesh,ananthapuramu,2022,2,8089,978578
andhra pradesh,ananthapuramu,2022,3,8090,1019639
andhra pradesh,ananthapuramu,2022,4,8091,1059705
andhra pradesh,ananthapuramu,2023,1,8092,1094625
andhra pradesh,ananthapuramu,2023,2,8093,1128637
andhra pradesh,ananthapuramu,2023,3,8094,1162685
andhra pradesh,ananthapuramu,2023,4,8095,1193922
andhra pradesh,ananthapuramu,2024,1,8096,1228091
andhra pradesh,ananthapuramu,2024,2,8097,1264498
andhra pradesh,ananthapuramu,2024,3,8098,1298910
andhra pradesh,ananthapuramu,2024,4,8099,1338623
andhra pradesh,ananthapuramu,2025,1,8100,1374095
andhra pradesh,ananthapuramu,2025,2,8101,1411907
andhra pradesh,ananthapuramu,2025,3,8102,1451094
andhra pradesh,ananthapuramu,2025,4,8103,1487620
andhra pradesh,ananthapuramu,2026,1,8104,1516713
andhra pradesh,ananthapuramu,2026,2,8105,1555974
andhra pradesh,annamayya,2018,1,8072,80883
andhra pradesh,annamayya,2018,2,8073,109306
andhra pradesh,annamayya,2018,3,8074,137093
andhra pradesh,annamayya,2018,4,8075,177218
andhra pradesh,annamayya,2019,1,8076,216109
andhra pradesh,annamayya,2019,2,8077,247271
andhra pradesh,annamayya,2019,3,8078,278968
andhra pradesh,annamayya,2019,4,8079,315609
andhra pradesh,annamayya,2020,1,8080,351514
andhra pradesh,annamayya,2020,2,8081,389335
andhra pradesh,annamayya,2020,3,8082,427822
andhra pradesh,annamayya,2020,4,8083,465492
andhra pradesh,annamayya,2021,1,8084,497746
andhra pradesh,annamayya,2021,2,8085,529418
andhra pradesh,annamayya,2021,3,8086,562380
andhra pradesh,annamayya,2021,4,8087,594380
andhra pradesh,annamayya,2022,1,8088,623250
andhra pradesh,annamayya,2022,2,8089,652565
andhra pradesh,annamayya,2022,3,8090,681909
andhra pradesh,annamayya,2022,4,8091,711332
andhra pradesh,annamayya,2023,1,8092,736703
andhra pradesh,annamayya,2023,2,8093,762220
andhra pradesh,annamayya,2023,3,8094,788479
andhra pradesh,annamayya,2023,4,8095,811414
andhra pradesh,annamayya,2024,1,8096,837104
andhra pradesh,annamayya,2024,2,8097,865210
andhra pradesh,annamayya,2024,3,8098,893601
andhra pradesh,annamayya,2024,4,8099,924858
andhra pradesh,annamayya,2025,1,8100,951945
andhra pradesh,annamayya,2025,2,8101,980499
andhra pradesh,annamayya,2025,3,8102,1011309
andhra pradesh,annamayya,2025,4,8103,1039691
andhra pradesh,annamayya,2026,1,8104,1063009
andhra pradesh,annamayya,2026,2,8105,1083722
andhra pradesh,bapatla,2018,1,8072,64000
andhra pradesh,bapatla,2018,2,8073,85460
andhra pradesh,bapatla,2018,3,8074,105361
andhra pradesh,bapatla,2018,4,8075,134442
andhra pradesh,bapatla,2019,1,8076,162190
andhra pradesh,bapatla,2019,2,8077,184662
andhra pradesh,bapatla,2019,3,8078,206625
andhra pradesh,bapatla,2019,4,8079,233698
andhra pradesh,bapatla,2020,1,8080,261434
andhra pradesh,bapatla,2020,2,8081,291185
andhra pradesh,bapatla,2020,3,8082,321555
andhra pradesh,bapatla,2020,4,8083,352265
andhra pradesh,bapatla,2021,1,8084,378697
andhra pradesh,bapatla,2021,2,8085,404689
andhra pradesh,bapatla,2021,3,8086,430725
andhra pradesh,bapatla,2021,4,8087,456476
andhra pradesh,bapatla,2022,1,8088,479852
andhra pradesh,bapatla,2022,2,8089,503598
andhra pradesh,bapatla,2022,3,8090,527132
andhra pradesh,bapatla,2022,4,8091,550482
andhra pradesh,bapatla,2023,1,8092,571187
andhra pradesh,bapatla,2023,2,8093,591911
andhra pradesh,bapatla,2023,3,8094,612807
andhra pradesh,bapatla,2023,4,8095,631046
andhra pradesh,bapatla,2024,1,8096,651309
andhra pradesh,bapatla,2024,2,8097,674635
andhra pradesh,bapatla,2024,3,8098,695675
andhra pradesh,bapatla,2024,4,8099,719172
andhra pradesh,bapatla,2025,1,8100,740410
andhra pradesh,bapatla,2025,2,8101,762884
andhra pradesh,bapatla,2025,3,8102,787278
andhra pradesh,bapatla,2025,4,8103,808451
andhra pradesh,bapatla,2026,1,8104,827051
andhra pradesh,bapatla,2026,2,8105,832865
andhra pradesh,chittoor,2018,1,8072,84412
andhra pradesh,chittoor,2018,2,8073,113609
andhra pradesh,chittoor,2018,3,8074,142178
andhra pradesh,chittoor,2018,4,8075,186219
andhra pradesh,chittoor,2019,1,8076,227944
andhra pradesh,chittoor,2019,2,8077,260413
andhra pradesh,chittoor,2019,3,8078,293437
andhra pradesh,chittoor,2019,4,8079,332108
andhra pradesh,chittoor,2020,1,8080,369265
andhra pradesh,chittoor,2020,2,8081,407209
andhra pradesh,chittoor,2020,3,8082,446735
andhra pradesh,chittoor,2020,4,8083,486648
andhra pradesh,chittoor,2021,1,8084,520340
andhra pradesh,chittoor,2021,2,8085,552599
andhra pradesh,chittoor,2021,3,8086,587708
andhra pradesh,chittoor,2021,4,8087,621979
andhra pradesh,chittoor,2022,1,8088,652411
andhra pradesh,chittoor,2022,2,8089,683304
andhra pradesh,chittoor,2022,3,8090,714338
andhra pradesh,chittoor,2022,4,8091,745082
andhra pradesh,chittoor,2023,1,8092,771765
andhra pradesh,chittoor,2023,2,8093,797657
andhra pradesh,chittoor,2023,3,8094,824255
andhra pradesh,chittoor,2023,4,8095,848297
andhra pradesh,chittoor,2024,1,8096,875188
andhra pradesh,chittoor,2024,2,8097,903680
andhra pradesh,chittoor,2024,3,8098,932283
andhra pradesh,chittoor,2024,4,8099,963845
andhra pradesh,chittoor,2025,1,8100,991595
andhra pradesh,chittoor,2025,2,8101,1020649
andhra pradesh,chittoor,2025,3,8102,1053846
andhra pradesh,chittoor,2025,4,8103,1081020
andhra pradesh,chittoor,2026,1,8104,1104837
andhra pradesh,chittoor,2026,2,8105,1126392
andhra pradesh,dr br ambedkar konaseema,2018,1,8072,72985
andhra pradesh,dr br ambedkar konaseema,2018,2,8073,94561
andhra pradesh,dr br ambedkar konaseema,2018,3,8074,116304
andhra pradesh,dr br ambedkar konaseema,2018,4,8075,145568
andhra pradesh,dr br ambedkar konaseema,2019,1,8076,175714
