state,year,quarter,period_id,registered_merchants
chandigarh,2022,3,8090,46291
chandigarh,2022,4,8091,47980
chandigarh,2023,1,8092,47270
chandigarh,2023,2,8093,48825
chandigarh,2023,3,8094,49865
chandigarh,2023,4,8095,50833
chandigarh,2024,1,8096,52271
chandigarh,2024,2,8097,53545
chandigarh,2024,3,8098,54821
chandigarh,2024,4,8099,56177
chandigarh,2025,1,8100,57875
chandigarh,2025,2,8101,59143
chandigarh,2025,3,8102,60176
chandigarh,2025,4,8103,61497
chandigarh,2026,1,8104,62840
chandigarh,2026,2,8105,64346
chhattisgarh,2018,1,8072,10
chhattisgarh,2018,2,8073,17
chhattisgarh,2018,3,8074,27
chhattisgarh,2018,4,8075,828
chhattisgarh,2019,1,8076,23858
chhattisgarh,2019,2,8077,48515
chhattisgarh,2019,3,8078,65116
chhattisgarh,2019,4,8079,82700
chhattisgarh,2020,1,8080,99397
chhattisgarh,2020,2,8081,105658
chhattisgarh,2020,3,8082,120657
chhattisgarh,2020,4,8083,153533
chhattisgarh,2021,1,8084,185878
chhattisgarh,2021,2,8085,198995
chhattisgarh,2021,3,8086,234841
chhattisgarh,2021,4,8087,278371
chhattisgarh,2022,1,8088,321437
chhattisgarh,2022,2,8089,353970
chhattisgarh,2022,3,8090,390945
chhattisgarh,2022,4,8091,425290
chhattisgarh,2023,1,8092,443733
chhattisgarh,2023,2,8093,457643
chhattisgarh,2023,3,8094,476302
chhattisgarh,2023,4,8095,494172
chhattisgarh,2024,1,8096,518348
chhattisgarh,2024,2,8097,542535
chhattisgarh,2024,3,8098,566499
chhattisgarh,2024,4,8099,593346
chhattisgarh,2025,1,8100,617762
chhattisgarh,2025,2,8101,639801
chhattisgarh,2025,3,8102,662495
chhattisgarh,2025,4,8103,687021
chhattisgarh,2026,1,8104,701882
chhattisgarh,2026,2,8105,715816
dadra & nagar haveli & daman & diu,2018,2,8073,1
dadra & nagar haveli & daman & diu,2018,3,8074,5
dadra & nagar haveli & daman & diu,2018,4,8075,9
dadra & nagar haveli & daman & diu,2019,1,8076,139
dadra & nagar haveli & daman & diu,2019,2,8077,1779
dadra & nagar haveli & daman & diu,2019,3,8078,3393
dadra & nagar haveli & daman & diu,2019,4,8079,4426
dadra & nagar haveli & daman & diu,2020,1,8080,5118
dadra & nagar haveli & daman & diu,2020,2,8081,5435
dadra & nagar haveli & daman & diu,2020,3,8082,7224
dadra & nagar haveli & daman & diu,2020,4,8083,9628
dadra & nagar haveli & daman & diu,2021,1,8084,11346
dadra & nagar haveli & daman & diu,2021,2,8085,11960
dadra & nagar haveli & daman & diu,2021,3,8086,13043
dadra & nagar haveli & daman & diu,2021,4,8087,14300
dadra & nagar haveli & daman & diu,2022,1,8088,15792
dadra & nagar haveli & daman & diu,2022,2,8089,16607
dadra & nagar haveli & daman & diu,2022,3,8090,17115
dadra & nagar haveli & daman & diu,2022,4,8091,17526
dadra & nagar haveli & daman & diu,2023,1,8092,17162
dadra & nagar haveli & daman & diu,2023,2,8093,17453
dadra & nagar haveli & daman & diu,2023,3,8094,18026
dadra & nagar haveli & daman & diu,2023,4,8095,18911
dadra & nagar haveli & daman & diu,2024,1,8096,20267
dadra & nagar haveli & daman & diu,2024,2,8097,21337
dadra & nagar haveli & daman & diu,2024,3,8098,22497
dadra & nagar haveli & daman & diu,2024,4,8099,23494
dadra & nagar haveli & daman & diu,2025,1,8100,24269
dadra & nagar haveli & daman & diu,2025,2,8101,24909
dadra & nagar haveli & daman & diu,2025,3,8102,25741
dadra & nagar haveli & daman & diu,2025,4,8103,26635
dadra & nagar haveli & daman & diu,2026,1,8104,27377
dadra & nagar haveli & daman & diu,2026,2,8105,27992
delhi,2018,1,8072,35
delhi,2018,2,8073,1582
delhi,2018,3,8074,20830
delhi,2018,4,8075,122312
delhi,2019,1,8076,291072
delhi,2019,2,8077,377636
delhi,2019,3,8078,457771
delhi,2019,4,8079,535746
delhi,2020,1,8080,620971
delhi,2020,2,8081,662128
delhi,2020,3,8082,806650
delhi,2020,4,8083,956264
delhi,2021,1,8084,1076714
delhi,2021,2,8085,1126168
delhi,2021,3,8086,1228686
delhi,2021,4,8087,1313333
delhi,2022,1,8088,1422784
delhi,2022,2,8089,1511233
delhi,2022,3,8090,1557751
delhi,2022,4,8091,1593056
delhi,2023,1,8092,1500599
delhi,2023,2,8093,1518643
delhi,2023,3,8094,1545075
delhi,2023,4,8095,1569273
delhi,2024,1,8096,1610556
delhi,2024,2,8097,1648369
delhi,2024,3,8098,1677600
delhi,2024,4,8099,1707724
delhi,2025,1,8100,1736526
delhi,2025,2,8101,1766050
delhi,2025,3,8102,1796474
delhi,2025,4,8103,1835425
delhi,2026,1,8104,1864615
delhi,2026,2,8105,1893905
goa,2018,2,8073,1
goa,2018,3,8074,4
goa,2018,4,8075,231
goa,2019,1,8076,766
goa,2019,2,8077,1863
goa,2019,3,8078,3458
goa,2019,4,8079,4792
goa,2020,1,8080,5584
goa,2020,2,8081,6457
goa,2020,3,8082,7492
goa,2020,4,8083,9461
goa,2021,1,8084,11748
goa,2021,2,8085,12752
goa,2021,3,8086,14847
goa,2021,4,8087,17696
goa,2022,1,8088,20221
goa,2022,2,8089,21786
goa,2022,3,8090,23829
goa,2022,4,8091,25200
goa,2023,1,8092,25609
goa,2023,2,8093,26285
goa,2023,3,8094,27362
goa,2023,4,8095,28389
goa,2024,1,8096,29320
goa,2024,2,8097,30281
