state,year,quarter,period_id,registered_merchants
nagaland,2022,3,8090,3410
nagaland,2022,4,8091,4561
nagaland,2023,1,8092,4886
nagaland,2023,2,8093,4988
nagaland,2023,3,8094,5053
nagaland,2023,4,8095,5764
nagaland,2024,1,8096,7149
nagaland,2024,2,8097,8484
nagaland,2024,3,8098,9915
nagaland,2024,4,8099,11424
nagaland,2025,1,8100,12681
nagaland,2025,2,8101,13867
nagaland,2025,3,8102,15356
nagaland,2025,4,8103,16637
nagaland,2026,1,8104,17757
nagaland,2026,2,8105,19236
odisha,2018,1,8072,12
odisha,2018,2,8073,7
odisha,2018,3,8074,41
odisha,2018,4,8075,448
odisha,2019,1,8076,56750
odisha,2019,2,8077,149542
odisha,2019,3,8078,205674
odisha,2019,4,8079,251989
odisha,2020,1,8080,289381
odisha,2020,2,8081,304562
odisha,2020,3,8082,355640
odisha,2020,4,8083,464756
odisha,2021,1,8084,548595
odisha,2021,2,8085,597443
odisha,2021,3,8086,672683
odisha,2021,4,8087,756259
odisha,2022,1,8088,839004
odisha,2022,2,8089,897828
odisha,2022,3,8090,959371
odisha,2022,4,8091,1013277
odisha,2023,1,8092,1002402
odisha,2023,2,8093,1021368
odisha,2023,3,8094,1051651
odisha,2023,4,8095,1079039
odisha,2024,1,8096,1106573
odisha,2024,2,8097,1142368
odisha,2024,3,8098,1175562
odisha,2024,4,8099,1212893
odisha,2025,1,8100,1247790
odisha,2025,2,8101,1280523
odisha,2025,3,8102,1316523
odisha,2025,4,8103,1362649
odisha,2026,1,8104,1397254
odisha,2026,2,8105,1434708
puducherry,2018,3,8074,2
puducherry,2018,4,8075,193
puducherry,2019,1,8076,4824
puducherry,2019,2,8077,9678
puducherry,2019,3,8078,11936
puducherry,2019,4,8079,13809
puducherry,2020,1,8080,15161
puducherry,2020,2,8081,15759
puducherry,2020,3,8082,17736
puducherry,2020,4,8083,21019
puducherry,2021,1,8084,24614
puducherry,2021,2,8085,25656
puducherry,2021,3,8086,28079
puducherry,2021,4,8087,30615
puducherry,2022,1,8088,33226
puducherry,2022,2,8089,35254
puducherry,2022,3,8090,36822
puducherry,2022,4,8091,38131
puducherry,2023,1,8092,38372
puducherry,2023,2,8093,38895
puducherry,2023,3,8094,39645
puducherry,2023,4,8095,40430
puducherry,2024,1,8096,41484
puducherry,2024,2,8097,42724
puducherry,2024,3,8098,44051
puducherry,2024,4,8099,45073
puducherry,2025,1,8100,46196
puducherry,2025,2,8101,47524
puducherry,2025,3,8102,48779
puducherry,2025,4,8103,49890
puducherry,2026,1,8104,50591
puducherry,2026,2,8105,51299
punjab,2018,1,8072,12
punjab,2018,2,8073,12
punjab,2018,3,8074,17
punjab,2018,4,8075,113
punjab,2019,1,8076,19290
punjab,2019,2,8077,62954
punjab,2019,3,8078,91197
punjab,2019,4,8079,116388
punjab,2020,1,8080,140707
punjab,2020,2,8081,149795
punjab,2020,3,8082,181331
punjab,2020,4,8083,228303
punjab,2021,1,8084,284376
punjab,2021,2,8085,338480
punjab,2021,3,8086,402314
punjab,2021,4,8087,466703
punjab,2022,1,8088,542139
punjab,2022,2,8089,604578
punjab,2022,3,8090,654993
punjab,2022,4,8091,703167
punjab,2023,1,8092,681611
punjab,2023,2,8093,700473
punjab,2023,3,8094,723574
punjab,2023,4,8095,746968
punjab,2024,1,8096,770732
punjab,2024,2,8097,798969
punjab,2024,3,8098,827225
punjab,2024,4,8099,854323
punjab,2025,1,8100,877203
punjab,2025,2,8101,895586
punjab,2025,3,8102,912817
punjab,2025,4,8103,931000
punjab,2026,1,8104,943590
punjab,2026,2,8105,958812
rajasthan,2018,1,8072,33
rajasthan,2018,2,8073,139
rajasthan,2018,3,8074,8587
rajasthan,2018,4,8075,45801
rajasthan,2019,1,8076,198786
rajasthan,2019,2,8077,329767
rajasthan,2019,3,8078,452793
rajasthan,2019,4,8079,542233
rajasthan,2020,1,8080,628462
rajasthan,2020,2,8081,671680
rajasthan,2020,3,8082,808116
rajasthan,2020,4,8083,981664
rajasthan,2021,1,8084,1160473
rajasthan,2021,2,8085,1273446
rajasthan,2021,3,8086,1461773
rajasthan,2021,4,8087,1643349
rajasthan,2022,1,8088,1863349
rajasthan,2022,2,8089,2003276
rajasthan,2022,3,8090,2112900
rajasthan,2022,4,8091,2221707
rajasthan,2023,1,8092,2212283
rajasthan,2023,2,8093,2257614
rajasthan,2023,3,8094,2324919
rajasthan,2023,4,8095,2406772
rajasthan,2024,1,8096,2513905
rajasthan,2024,2,8097,2630384
rajasthan,2024,3,8098,2738128
rajasthan,2024,4,8099,2840940
rajasthan,2025,1,8100,2927213
rajasthan,2025,2,8101,3005610
rajasthan,2025,3,8102,3082538
rajasthan,2025,4,8103,3178588
rajasthan,2026,1,8104,3240632
rajasthan,2026,2,8105,3314270
sikkim,2018,4,8075,1
sikkim,2019,1,8076,15
sikkim,2019,2,8077,57
sikkim,2019,3,8078,111
sikkim,2019,4,8079,153
sikkim,2020,1,8080,197
sikkim,2020,2,8081,221
sikkim,2020,3,8082,242
sikkim,2020,4,8083,291
sikkim,2021,1,8084,399
sikkim,2021,2,8085,455
sikkim,2021,3,8086,792
sikkim,2021,4,8087,952
sikkim,2022,1,8088,1219
sikkim,2022,2,8089,1350
sikkim,2022,3,8090,1493
sikkim,2022,4,8091,1585
sikkim,2023,1,8092,1831
sikkim,2023,2,8093,2524
sikkim,2023,3,8094,3235
sikkim,2023,4,8095,3496
sikkim,2024,1,8096,4068
sikkim,2024,2,8097,4805
sikkim,2024,3,8098,6355
sikkim,2024,4,8099,7123
sikkim,2025,1,8100,7607
sikkim,2025,2,8101,8059
sikkim,2025,3,8102,8403
sikkim,2025,4,8103,8877
sikkim,2026,1,8104,9257
sikkim,2026,2,8105,9576
tamil nadu,2018,1,8072,48
tamil nadu,2018,2,8073,58
tamil nadu,2018,3,8074,211
tamil nadu,2018,4,8075,12417
tamil nadu,2019,1,8076,89054
tamil nadu,2019,2,8077,230529
tamil nadu,2019,3,8078,318903
tamil nadu,2019,4,8079,406910
tamil nadu,2020,1,8080,484793
tamil nadu,2020,2,8081,516057
tamil nadu,2020,3,8082,620844
tamil nadu,2020,4,8083,769374
tamil nadu,2021,1,8084,912668
tamil nadu,2021,2,8085,975536
tamil nadu,2021,3,8086,1089153
tamil nadu,2021,4,8087,1209788
tamil nadu,2022,1,8088,1356884
tamil nadu,2022,2,8089,1467182
tamil nadu,2022,3,8090,1553055
tamil nadu,2022,4,8091,1632127
tamil nadu,2023,1,8092,1653481
tamil nadu,2023,2,8093,1683247
tamil nadu,2023,3,8094,1731234
tamil nadu,2023,4,8095,1783632
tamil nadu,2024,1,8096,1856637
tamil nadu,2024,2,8097,1925501
tamil nadu,2024,3,8098,1991578
tamil nadu,2024,4,8099,2054574
tamil nadu,2025,1,8100,2114180
tamil nadu,2025,2,8101,2173347
tamil nadu,2025,3,8102,2227787
tamil nadu,2025,4,8103,2282219
tamil nadu,2026,1,8104,2318838
tamil nadu,2026,2,8105,2358819
telangana,2018,1,8072,36
telangana,2018,2,8073,395
telangana,2018,3,8074,31579
telangana,2018,4,8075,116006
telangana,2019,1,8076,280921
telangana,2019,2,8077,388096
telangana,2019,3,8078,490375
telangana,2019,4,8079,571643
telangana,2020,1,8080,640815
telangana,2020,2,8081,673726
telangana,2020,3,8082,802189
telangana,2020,4,8083,986977
telangana,2021,1,8084,1156920
telangana,2021,2,8085,1230127
telangana,2021,3,8086,1326576
telangana,2021,4,8087,1434453
telangana,2022,1,8088,1545651
telangana,2022,2,8089,1632694
telangana,2022,3,8090,1698591
telangana,2022,4,8091,1755424
telangana,2023,1,8092,1767962
telangana,2023,2,8093,1798270
telangana,2023,3,8094,1844528
telangana,2023,4,8095,1893687
telangana,2024,1,8096,1974451
telangana,2024,2,8097,2034941
telangana,2024,3,8098,2090746
telangana,2024,4,8099,2147214
telangana,2025,1,8100,2196581
telangana,2025,2,8101,2246001
telangana,2025,3,8102,2298730
telangana,2025,4,8103,2374216
telangana,2026,1,8104,2425675
telangana,2026,2,8105,2481953
tripura,2018,4,8075,6
tripura,2019,1,8076,389
tripura,2019,2,8077,882
tripura,2019,3,8078,1187
tripura,2019,4,8079,1413
tripura,2020,1,8080,1614
tripura,2020,2,8081,1741
tripura,2020,3,8082,1801
tripura,2020,4,8083,1980
tripura,2021,1,8084,2294
tripura,2021,2,8085,4022
tripura,2021,3,8086,6525
tripura,2021,4,8087,9671
tripura,2022,1,8088,12351
tripura,2022,2,8089,15494
tripura,2022,3,8090,20339
tripura,2022,4,8091,23805
tripura,2023,1,8092,26411
tripura,2023,2,8093,28521
tripura,2023,3,8094,32375
tripura,2023,4,8095,35430
tripura,2024,1,8096,37140
tripura,2024,2,8097,38797
tripura,2024,3,8098,40877
tripura,2024,4,8099,43371
tripura,2025,1,8100,45840
tripura,2025,2,8101,47515
tripura,2025,3,8102,49397
tripura,2025,4,8103,51531
tripura,2026,1,8104,52868
tripura,2026,2,8105,55157
uttar pradesh,2018,1,8072,24
uttar pradesh,2018,2,8073,342
uttar pradesh,2018,3,8074,5805
uttar pradesh,2018,4,8075,44207
uttar pradesh,2019,1,8076,234825
uttar pradesh,2019,2,8077,480618
uttar pradesh,2019,3,8078,671645
uttar pradesh,2019,4,8079,828695
uttar pradesh,2020,1,8080,979673
uttar pradesh,2020,2,8081,1043964
uttar pradesh,2020,3,8082,1242714
uttar pradesh,2020,4,8083,1586664
uttar pradesh,2021,1,8084,2059413
uttar pradesh,2021,2,8085,2328409
uttar pradesh,2021,3,8086,2857565
uttar pradesh,2021,4,8087,3413744
uttar pradesh,2022,1,8088,4069314
uttar pradesh,2022,2,8089,4486248
uttar pradesh,2022,3,8090,4865043
uttar pradesh,2022,4,8091,5262234
uttar pradesh,2023,1,8092,5259389
uttar pradesh,2023,2,8093,5399393
uttar pradesh,2023,3,8094,5617414
uttar pradesh,2023,4,8095,5820508
uttar pradesh,2024,1,8096,6019346
uttar pradesh,2024,2,8097,6248571
uttar pradesh,2024,3,8098,6485244
uttar pradesh,2024,4,8099,6724830
uttar pradesh,2025,1,8100,6931337
uttar pradesh,2025,2,8101,7118781
uttar pradesh,2025,3,8102,7328300
uttar pradesh,2025,4,8103,7586405
uttar pradesh,2026,1,8104,7724417
uttar pradesh,2026,2,8105,7866204
uttarakhand,2018,3,8074,10
uttarakhand,2018,4,8075,102
uttarakhand,2019,1,8076,7020
uttarakhand,2019,2,8077,19747
uttarakhand,2019,3,8078,28981
uttarakhand,2019,4,8079,39058
uttarakhand,2020,1,8080,48320
uttarakhand,2020,2,8081,52918
uttarakhand,2020,3,8082,65658
uttarakhand,2020,4,8083,85892
uttarakhand,2021,1,8084,124324
uttarakhand,2021,2,8085,148562
uttarakhand,2021,3,8086,185660
uttarakhand,2021,4,8087,226561
uttarakhand,2022,1,8088,269957
uttarakhand,2022,2,8089,302643
uttarakhand,2022,3,8090,329037
uttarakhand,2022,4,8091,351700
uttarakhand,2023,1,8092,354593
uttarakhand,2023,2,8093,367202
uttarakhand,2023,3,8094,379354
uttarakhand,2023,4,8095,391364
uttarakhand,2024,1,8096,403865
uttarakhand,2024,2,8097,417986
uttarakhand,2024,3,8098,430448
uttarakhand,2024,4,8099,441710
uttarakhand,2025,1,8100,450722
uttarakhand,2025,2,8101,459615
uttarakhand,2025,3,8102,468380
uttarakhand,2025,4,8103,477700
uttarakhand,2026,1,8104,484584
uttarakhand,2026,2,8105,493992
west bengal,2018,1,8072,29
west bengal,2018,2,8073,153
west bengal,2018,3,8074,387
west bengal,2018,4,8075,2273
west bengal,2019,1,8076,160231
west bengal,2019,2,8077,408272
west bengal,2019,3,8078,557605
west bengal,2019,4,8079,667857
west bengal,2020,1,8080,775932
west bengal,2020,2,8081,813620
west bengal,2020,3,8082,922488
west bengal,2020,4,8083,1136123
west bengal,2021,1,8084,1344929
west bengal,2021,2,8085,1467960
west bengal,2021,3,8086,1640034
west bengal,2021,4,8087,1841977
west bengal,2022,1,8088,2052296
west bengal,2022,2,8089,2198980
west bengal,2022,3,8090,2336122
west bengal,2022,4,8091,2460123
west bengal,2023,1,8092,2476853
west bengal,2023,2,8093,2540990
west bengal,2023,3,8094,2645684
west bengal,2023,4,8095,2741155
west bengal,2024,1,8096,2845547
west bengal,2024,2,8097,2941809
west bengal,2024,3,8098,3036684
west bengal,2024,4,8099,3131480
west bengal,2025,1,8100,3221457
west bengal,2025,2,8101,3307755
west bengal,2025,3,8102,3397402
west bengal,2025,4,8103,3501166
west bengal,2026,1,8104,3567960
west bengal,2026,2,8105,3631496
