state,period_id,category_minus_map_count
dadra & nagar haveli & daman & diu,8086,0
dadra & nagar haveli & daman & diu,8087,0
dadra & nagar haveli & daman & diu,8088,0
dadra & nagar haveli & daman & diu,8089,0
dadra & nagar haveli & daman & diu,8090,0
dadra & nagar haveli & daman & diu,8091,0
dadra & nagar haveli & daman & diu,8092,0
dadra & nagar haveli & daman & diu,8093,0
dadra & nagar haveli & daman & diu,8094,0
dadra & nagar haveli & daman & diu,8095,0
dadra & nagar haveli & daman & diu,8096,0
dadra & nagar haveli & daman & diu,8097,0
dadra & nagar haveli & daman & diu,8098,0
dadra & nagar haveli & daman & diu,8099,0
dadra & nagar haveli & daman & diu,8100,0
dadra & nagar haveli & daman & diu,8101,0
dadra & nagar haveli & daman & diu,8102,0
dadra & nagar haveli & daman & diu,8103,0
dadra & nagar haveli & daman & diu,8104,0
dadra & nagar haveli & daman & diu,8105,0
delhi,8072,0
delhi,8073,0
delhi,8074,0
delhi,8075,0
delhi,8076,0
delhi,8077,0
delhi,8078,0
delhi,8079,0
delhi,8080,0
delhi,8081,0
delhi,8082,0
delhi,8083,0
delhi,8084,0
delhi,8085,0
delhi,8086,0
delhi,8087,0
delhi,8088,0
delhi,8089,0
delhi,8090,0
delhi,8091,0
delhi,8092,0
delhi,8093,0
delhi,8094,0
delhi,8095,0
delhi,8096,0
delhi,8097,0
delhi,8098,0
delhi,8099,0
delhi,8100,0
delhi,8101,0
delhi,8102,0
delhi,8103,0
delhi,8104,0
delhi,8105,0
goa,8072,0
goa,8073,0
goa,8074,0
goa,8075,0
goa,8076,0
goa,8077,0
goa,8078,0
goa,8079,0
goa,8080,0
goa,8081,0
goa,8082,0
goa,8083,0
goa,8084,0
goa,8085,0
goa,8086,0
goa,8087,0
goa,8088,0
goa,8089,0
goa,8090,0
goa,8091,0
goa,8092,0
goa,8093,0
goa,8094,0
goa,8095,0
goa,8096,0
goa,8097,0
goa,8098,0
goa,8099,0
goa,8100,0
goa,8101,0
goa,8102,0
goa,8103,0
goa,8104,0
goa,8105,0
gujarat,8072,0
gujarat,8073,0
gujarat,8074,0
gujarat,8075,0
gujarat,8076,0
gujarat,8077,0
gujarat,8078,0
gujarat,8079,0
gujarat,8080,0
gujarat,8081,0
gujarat,8082,0
gujarat,8083,0
gujarat,8084,0
gujarat,8085,0
gujarat,8086,0
gujarat,8087,0
gujarat,8088,0
gujarat,8089,0
gujarat,8090,0
gujarat,8091,0
gujarat,8092,0
gujarat,8093,0
gujarat,8094,0
gujarat,8095,0
gujarat,8096,0
gujarat,8097,0
gujarat,8098,0
gujarat,8099,0
gujarat,8100,0
gujarat,8101,0
gujarat,8102,0
gujarat,8103,0
gujarat,8104,0
gujarat,8105,0
haryana,8072,0
haryana,8073,0
haryana,8074,0
haryana,8075,0
haryana,8076,0
haryana,8077,0
haryana,8078,0
haryana,8079,0
haryana,8080,0
haryana,8081,0
haryana,8082,0
haryana,8083,0
haryana,8084,0
haryana,8085,0
haryana,8086,0
haryana,8087,0
haryana,8088,0
haryana,8089,0
haryana,8090,0
haryana,8091,0
haryana,8092,0
haryana,8093,0
haryana,8094,0
haryana,8095,0
haryana,8096,0
haryana,8097,0
haryana,8098,0
haryana,8099,0
haryana,8100,0
haryana,8101,0
haryana,8102,0
haryana,8103,0
haryana,8104,0
haryana,8105,0
himachal pradesh,8072,0
himachal pradesh,8073,0
himachal pradesh,8074,0
himachal pradesh,8075,0
himachal pradesh,8076,0
