state,year,quarter,period_id,transaction_count,transaction_amount
assam,2019,4,8079,6891858,14599084294.48947
assam,2020,1,8080,8674891,18864649389.34545
assam,2020,2,8081,11026960,19908371407.600346
assam,2020,3,8082,11961802,26368491655.51855
assam,2020,4,8083,14784484,36013810212.345345
assam,2021,1,8084,17317732,44333318961.29296
assam,2021,2,8085,22621193,51853860554.972015
assam,2021,3,8086,28693230,64005741457.90784
assam,2021,4,8087,35028733,77820924721.56917
assam,2022,1,8088,50025695,110373718442.02957
assam,2022,2,8089,64800277,127094723035.47563
assam,2022,3,8090,84341513,150673177993.96173
assam,2022,4,8091,97084626,172386294490.2151
assam,2023,1,8092,115216347,212425494987.1329
assam,2023,2,8093,139599202,235261543203.49353
assam,2023,3,8094,168278113,243468041626.96988
assam,2023,4,8095,194352109,285818446041.6975
assam,2024,1,8096,222628994,321206875230.3624
assam,2024,2,8097,274589008,345236981886.75684
assam,2024,3,8098,297749691,333320132729.0125
assam,2024,4,8099,333086043,382282177286.4366
assam,2025,1,8100,381449165,449262511160.80133
assam,2025,2,8101,412522853,444019860093.2911
assam,2025,3,8102,454562374,444477731627.2193
assam,2025,4,8103,468795161,468243373408.78876
assam,2026,1,8104,503481347,522964731937.307
assam,2026,2,8105,549125066,519696079352.86957
bihar,2018,1,8072,7267806,7318769108.557262
bihar,2018,2,8073,10434579,15988264138.119148
bihar,2018,3,8074,16507213,23175783209.3531
bihar,2018,4,8075,18324599,32563096733.8254
bihar,2019,1,8076,28578223,44383537984.84218
bihar,2019,2,8077,29212818,61070184415.5835
bihar,2019,3,8078,29692696,64038814257.19348
bihar,2019,4,8079,40967886,89108176121.19955
bihar,2020,1,8080,44056833,106616037981.9359
bihar,2020,2,8081,53954783,130329505836.33133
bihar,2020,3,8082,72779613,175427345182.79007
bihar,2020,4,8083,97696608,239429081339.50946
bihar,2021,1,8084,111690707,277382314169.3477
bihar,2021,2,8085,152928387,374306226227.0451
bihar,2021,3,8086,184812122,398169200251.47766
bihar,2021,4,8087,211595139,455873110665.51166
bihar,2022,1,8088,279365074,607780285452.8403
bihar,2022,2,8089,350987405,741819444963.2347
bihar,2022,3,8090,398081452,747732795859.8962
bihar,2022,4,8091,478561642,881147256455.3129
bihar,2023,1,8092,557298485,1037888852800.0654
bihar,2023,2,8093,698546493,1224912261750.1792
bihar,2023,3,8094,743992914,1148004167584.6228
bihar,2023,4,8095,939309620,1436863360578.1116
bihar,2024,1,8096,1086107837,1633842288997.5242
bihar,2024,2,8097,1321734729,1878213500138.2026
bihar,2024,3,8098,1354611186,1774925561306.6208
bihar,2024,4,8099,1559808519,2092918508999.367
bihar,2025,1,8100,1530666231,2084046921423.7925
bihar,2025,2,8101,1793785807,2356277702190.085
bihar,2025,3,8102,1804002017,2130102112192.274
bihar,2025,4,8103,2022586363,2442715459709.96
bihar,2026,1,8104,2098602814,2537338892793.637
bihar,2026,2,8105,2289051873,2678141315406.1562
chandigarh,2018,1,8072,223975,393507115.84811443
chandigarh,2018,2,8073,319560,664062457.5527933
chandigarh,2018,3,8074,417919,971597704.0881219
chandigarh,2018,4,8075,603259,1354040230.1718202
chandigarh,2019,1,8076,876820,1678862941.0300002
chandigarh,2019,2,8077,1081281,2214484682.804943
chandigarh,2019,3,8078,1428205,2696336857.265588
chandigarh,2019,4,8079,1663318,3246646185.7316084
chandigarh,2020,1,8080,1776530,3334833902.532528
chandigarh,2020,2,8081,1098495,2233114743.327046
chandigarh,2020,3,8082,1787111,3631987949.8054485
chandigarh,2020,4,8083,2610842,4860838678.860598
chandigarh,2021,1,8084,3291014,5639239470.444478
chandigarh,2021,2,8085,3336924,5688419002.539844
chandigarh,2021,3,8086,4795459,7498822383.4005165
chandigarh,2021,4,8087,5012587,7760737879.59054
chandigarh,2022,1,8088,6026078,9061038154.153315
chandigarh,2022,2,8089,7761882,10624481178.149662
chandigarh,2022,3,8090,9175146,12189515329.976696
chandigarh,2022,4,8091,9744704,12720512772.5428
chandigarh,2023,1,8092,10182795,13320740709.154438
chandigarh,2023,2,8093,12002645,15001734621.098116
chandigarh,2023,3,8094,13514642,15978579212.550114
chandigarh,2023,4,8095,13784981,16915170140.23735
chandigarh,2024,1,8096,13667061,16541090390.048546
chandigarh,2024,2,8097,16570280,18298504093.428207
chandigarh,2024,3,8098,17830482,19398464952.299725
chandigarh,2024,4,8099,18645893,20631840726.069115
chandigarh,2025,1,8100,19931215,21239542165.21637
chandigarh,2025,2,8101,20255468,21185658828.05371
chandigarh,2025,3,8102,22149566,22397711070.192337
chandigarh,2025,4,8103,22627910,23861736668.233253
chandigarh,2026,1,8104,22820289,23784456763.001396
chandigarh,2026,2,8105,25137055,25233291728.69225
chhattisgarh,2018,1,8072,2308574,2600414470.835706
chhattisgarh,2018,2,8073,3380470,5020388075.196792
chhattisgarh,2018,3,8074,4512546,7219788715.082321
chhattisgarh,2018,4,8075,6353226,10755271064.359688
chhattisgarh,2019,1,8076,8806110,13924157587.499626
chhattisgarh,2019,2,8077,10141906,18246258174.340855
chhattisgarh,2019,3,8078,12460140,21416627955.839325
chhattisgarh,2019,4,8079,16357293,28463127103.098198
chhattisgarh,2020,1,8080,19093394,32590895619.612717
chhattisgarh,2020,2,8081,21009112,37624391296.12829
chhattisgarh,2020,3,8082,28282693,50717527358.68874
chhattisgarh,2020,4,8083,39804658,71088111288.6268
chhattisgarh,2021,1,8084,48630460,85037921799.0683
chhattisgarh,2021,2,8085,57474912,98787017765.85956
chhattisgarh,2021,3,8086,80717872,128856725337.29623
chhattisgarh,2021,4,8087,90986070,142897547581.29657
chhattisgarh,2022,1,8088,118651612,188186021689.86618
chhattisgarh,2022,2,8089,143649650,217141086234.92676
chhattisgarh,2022,3,8090,168777635,232335130975.735
chhattisgarh,2022,4,8091,192641774,267162792319.1936
chhattisgarh,2023,1,8092,214685457,299544060546.12585
chhattisgarh,2023,2,8093,250168113,331458751118.9755
chhattisgarh,2023,3,8094,283570782,349234131102.0796
chhattisgarh,2023,4,8095,322561838,404263598492.0149
chhattisgarh,2024,1,8096,366651062,463030150974.65735
chhattisgarh,2024,2,8097,412497773,495339525982.10114
