state,year,quarter,period_id,registered_users
chandigarh,2018,2,8073,113150
chandigarh,2018,3,8074,141119
chandigarh,2018,4,8075,175644
chandigarh,2019,1,8076,207673
chandigarh,2019,2,8077,240155
chandigarh,2019,3,8078,268117
chandigarh,2019,4,8079,292017
chandigarh,2020,1,8080,316683
chandigarh,2020,2,8081,341687
chandigarh,2020,3,8082,368783
chandigarh,2020,4,8083,396747
chandigarh,2021,1,8084,420246
chandigarh,2021,2,8085,442163
chandigarh,2021,3,8086,465065
chandigarh,2021,4,8087,487572
chandigarh,2022,1,8088,509170
chandigarh,2022,2,8089,529517
chandigarh,2022,3,8090,550651
chandigarh,2022,4,8091,569949
chandigarh,2023,1,8092,587987
chandigarh,2023,2,8093,605280
chandigarh,2023,3,8094,622265
chandigarh,2023,4,8095,639168
chandigarh,2024,1,8096,660057
chandigarh,2024,2,8097,682073
chandigarh,2024,3,8098,703169
chandigarh,2024,4,8099,721374
chandigarh,2025,1,8100,739749
chandigarh,2025,2,8101,757963
chandigarh,2025,3,8102,776162
chandigarh,2025,4,8103,794106
chandigarh,2026,1,8104,811491
chandigarh,2026,2,8105,829123
chhattisgarh,2018,1,8072,686395
chhattisgarh,2018,2,8073,967619
chhattisgarh,2018,3,8074,1229445
chhattisgarh,2018,4,8075,1584333
chhattisgarh,2019,1,8076,1925189
chhattisgarh,2019,2,8077,2212185
chhattisgarh,2019,3,8078,2488075
chhattisgarh,2019,4,8079,2780915
chhattisgarh,2020,1,8080,3094859
chhattisgarh,2020,2,8081,3484888
chhattisgarh,2020,3,8082,3897665
chhattisgarh,2020,4,8083,4302482
chhattisgarh,2021,1,8084,4682835
chhattisgarh,2021,2,8085,5078626
chhattisgarh,2021,3,8086,5517110
chhattisgarh,2021,4,8087,5951381
chhattisgarh,2022,1,8088,6380734
chhattisgarh,2022,2,8089,6782654
chhattisgarh,2022,3,8090,7211969
chhattisgarh,2022,4,8091,7618238
chhattisgarh,2023,1,8092,8004123
chhattisgarh,2023,2,8093,8375641
chhattisgarh,2023,3,8094,8766380
chhattisgarh,2023,4,8095,9160798
chhattisgarh,2024,1,8096,9676480
chhattisgarh,2024,2,8097,10160209
chhattisgarh,2024,3,8098,10587536
chhattisgarh,2024,4,8099,10962228
chhattisgarh,2025,1,8100,11341270
chhattisgarh,2025,2,8101,11716582
chhattisgarh,2025,3,8102,12105416
chhattisgarh,2025,4,8103,12478219
chhattisgarh,2026,1,8104,12825130
chhattisgarh,2026,2,8105,13192734
dadra & nagar haveli & daman & diu,2018,1,8072,46505
dadra & nagar haveli & daman & diu,2018,2,8073,62632
dadra & nagar haveli & daman & diu,2018,3,8074,79851
dadra & nagar haveli & daman & diu,2018,4,8075,101702
dadra & nagar haveli & daman & diu,2019,1,8076,122413
dadra & nagar haveli & daman & diu,2019,2,8077,139004
dadra & nagar haveli & daman & diu,2019,3,8078,155873
dadra & nagar haveli & daman & diu,2019,4,8079,174634
dadra & nagar haveli & daman & diu,2020,1,8080,193453
dadra & nagar haveli & daman & diu,2020,2,8081,217392
dadra & nagar haveli & daman & diu,2020,3,8082,239161
dadra & nagar haveli & daman & diu,2020,4,8083,264058
dadra & nagar haveli & daman & diu,2021,1,8084,284780
dadra & nagar haveli & daman & diu,2021,2,8085,304287
dadra & nagar haveli & daman & diu,2021,3,8086,326668
dadra & nagar haveli & daman & diu,2021,4,8087,349265
dadra & nagar haveli & daman & diu,2022,1,8088,369790
dadra & nagar haveli & daman & diu,2022,2,8089,390083
dadra & nagar haveli & daman & diu,2022,3,8090,410533
dadra & nagar haveli & daman & diu,2022,4,8091,431261
dadra & nagar haveli & daman & diu,2023,1,8092,449889
dadra & nagar haveli & daman & diu,2023,2,8093,467310
