period_id,rows,states
8072,783,36
8073,783,36
8074,783,36
8075,783,36
8076,783,36
8077,783,36
8078,783,36
8079,783,36
8080,783,36
8081,783,36
8082,783,36
8083,783,36
8084,783,36
8085,783,36
8086,783,36
8087,783,36
8088,783,36
8089,783,36
8090,783,36
8091,783,36
8092,783,36
8093,783,36
8094,783,36
8095,783,36
8096,783,36
8097,783,36
8098,783,36
8099,783,36
8100,783,36
8101,783,36
8102,783,36
8103,783,36
8104,783,36
8105,783,36
