state,district,year,quarter,period_id,transaction_count,transaction_amount,registered_users,registered_merchants
andaman & nicobar islands,south andaman,2020,1,8080,37256,142858940.37021935,31328,39
andaman & nicobar islands,south andaman,2020,2,8081,58888,147692524.2823298,34986,45
andaman & nicobar islands,south andaman,2020,3,8082,115755,316290983.9233926,42180,53
andaman & nicobar islands,south andaman,2020,4,8083,225909,604885203.456435,51647,160
andaman & nicobar islands,south andaman,2021,1,8084,264309,809046310.8944216,57983,301
andaman & nicobar islands,south andaman,2021,2,8085,376673,913110489.9326305,64825,370
andaman & nicobar islands,south andaman,2021,3,8086,486039,1264593066.9854102,71550,549
andaman & nicobar islands,south andaman,2021,4,8087,623101,1730059610.7300625,78889,1055
andaman & nicobar islands,south andaman,2022,1,8088,870912,2111247231.397351,85865,1550
andaman & nicobar islands,south andaman,2022,2,8089,1250648,2783890970.497587,92900,1955
andaman & nicobar islands,south andaman,2022,3,8090,1660476,3214668843.489352,99979,2362
andaman & nicobar islands,south andaman,2022,4,8091,2007262,3733794415.714377,106483,2619
andaman & nicobar islands,south andaman,2023,1,8092,2175865,4034862158.396229,111953,2757
andaman & nicobar islands,south andaman,2023,2,8093,2613370,4513171448.23246,117498,2906
andaman & nicobar islands,south andaman,2023,3,8094,2939635,4651123232.542769,123164,3013
andaman & nicobar islands,south andaman,2023,4,8095,3508682,5653309774.486908,129088,3075
andaman & nicobar islands,south andaman,2024,1,8096,3874282,6135770727.40441,134945,3117
andaman & nicobar islands,south andaman,2024,2,8097,4271742,6450947672.113669,141277,3300
andaman & nicobar islands,south andaman,2024,3,8098,4715525,6567783531.056631,147313,3597
andaman & nicobar islands,south andaman,2024,4,8099,5432911,7769560763.162052,152408,3899
andaman & nicobar islands,south andaman,2025,1,8100,5631610,7924108214.092497,157318,4199
andaman & nicobar islands,south andaman,2025,2,8101,5641663,7626317723.610066,162202,4426
andaman & nicobar islands,south andaman,2025,3,8102,5964985,7532357609.215437,167087,4658
andaman & nicobar islands,south andaman,2025,4,8103,6840092,9096405417.43564,171964,4908
andaman & nicobar islands,south andaman,2026,1,8104,7088684,9484503181.430897,176200,5114
andaman & nicobar islands,south andaman,2026,2,8105,6820738,8937260921.360214,180817,5317
andhra pradesh,alluri sitharama raju,2018,1,8072,38878,61657542.778356455,15140,4
andhra pradesh,alluri sitharama raju,2018,2,8073,60718,116237831.07168221,21338,3
andhra pradesh,alluri sitharama raju,2018,3,8074,91155,171025570.09331813,28414,17
andhra pradesh,alluri sitharama raju,2018,4,8075,146847,312486236.30009973,38136,38
andhra pradesh,alluri sitharama raju,2019,1,8076,231526,465260948.5413035,47273,648
andhra pradesh,alluri sitharama raju,2019,2,8077,316481,726629181.4874219,55591,862
andhra pradesh,alluri sitharama raju,2019,3,8078,401582,909837623.2716868,65573,1026
andhra pradesh,alluri sitharama raju,2019,4,8079,638039,1601730369.546769,77703,1431
andhra pradesh,alluri sitharama raju,2020,1,8080,829823,2205093472.1772757,89862,1654
andhra pradesh,alluri sitharama raju,2020,2,8081,1186627,3080002355.1839476,103179,1837
andhra pradesh,alluri sitharama raju,2020,3,8082,1552042,3998172631.195208,117245,2226
andhra pradesh,alluri sitharama raju,2020,4,8083,1969039,4962504959.376707,129991,2951
andhra pradesh,alluri sitharama raju,2021,1,8084,1992821,5345502865.060858,140452,3566
andhra pradesh,alluri sitharama raju,2021,2,8085,2516371,6680062059.590271,151089,3934
andhra pradesh,alluri sitharama raju,2021,3,8086,3199630,7281885264.724094,163627,4437
andhra pradesh,alluri sitharama raju,2021,4,8087,3564347,7496706575.92935,175206,5036
andhra pradesh,alluri sitharama raju,2022,1,8088,4170130,9308971026.022793,185169,5607
andhra pradesh,alluri sitharama raju,2022,2,8089,4708390,10265318397.462849,196346,6005
andhra pradesh,alluri sitharama raju,2022,3,8090,5379105,10667979849.05988,208584,6521
andhra pradesh,alluri sitharama raju,2022,4,8091,6764084,12752715832.096445,220448,6805
andhra pradesh,alluri sitharama raju,2023,1,8092,6981319,13771334989.364555,230524,6911
andhra pradesh,alluri sitharama raju,2023,2,8093,8051951,15222011827.880589,241824,7150
andhra pradesh,alluri sitharama raju,2023,3,8094,9386991,15677081697.537067,254923,7528
andhra pradesh,alluri sitharama raju,2023,4,8095,11235628,17836926431.765797,267597,7973
andhra pradesh,alluri sitharama raju,2024,1,8096,12047930,19503864875.390823,283867,8690
andhra pradesh,alluri sitharama raju,2024,2,8097,12883190,19885922389.56729,300121,9198
andhra pradesh,alluri sitharama raju,2024,3,8098,13037165,17687667730.191597,315619,9440
andhra pradesh,alluri sitharama raju,2024,4,8099,16288090,22028740453.91383,331160,9731
andhra pradesh,alluri sitharama raju,2025,1,8100,16919213,23991045543.852272,344571,10031
andhra pradesh,alluri sitharama raju,2025,2,8101,16249699,22359517927.455685,358648,10217
andhra pradesh,alluri sitharama raju,2025,3,8102,17682072,22093621619.233795,375342,10333
andhra pradesh,alluri sitharama raju,2025,4,8103,19787232,24651925533.73941,390961,10685
andhra pradesh,alluri sitharama raju,2026,1,8104,20991582,28683764783.166893,403857,10865
andhra pradesh,alluri sitharama raju,2026,2,8105,22403546,28684114124.232155,411684,11247
andhra pradesh,anakapalli,2018,1,8072,369336,417840032.3080977,99229,
andhra pradesh,anakapalli,2018,2,8073,488222,714746256.5126145,128734,
andhra pradesh,anakapalli,2018,3,8074,962760,1150773225.1552424,155807,844
andhra pradesh,anakapalli,2018,4,8075,1216303,1771658490.099206,198136,2766
andhra pradesh,anakapalli,2019,1,8076,2371484,3272505355.51519,239575,7412
andhra pradesh,anakapalli,2019,2,8077,2621698,4998792480.484257,270715,10242
