state,district,year,quarter,period_id,transaction_count,transaction_amount
andaman & nicobar islands,nicobar,2018,1,8072,696,1455284.391934002
andaman & nicobar islands,nicobar,2018,2,8073,1480,3781103.3068816382
andaman & nicobar islands,nicobar,2018,3,8074,1870,7560956.9597359225
andaman & nicobar islands,nicobar,2018,4,8075,1860,8376410.358232589
andaman & nicobar islands,nicobar,2019,1,8076,1985,8745229.692520771
andaman & nicobar islands,nicobar,2019,2,8077,2769,12927813.290471084
andaman & nicobar islands,nicobar,2019,3,8078,3103,16425425.950133696
andaman & nicobar islands,nicobar,2019,4,8079,3641,17561315.736795835
andaman & nicobar islands,nicobar,2020,1,8080,4062,17218939.23969346
andaman & nicobar islands,nicobar,2020,2,8081,5173,19118891.012682706
andaman & nicobar islands,nicobar,2020,3,8082,6999,30268456.155840646
andaman & nicobar islands,nicobar,2020,4,8083,10472,43285754.49148509
andaman & nicobar islands,nicobar,2021,1,8084,14192,52327795.95115582
andaman & nicobar islands,nicobar,2021,2,8085,22389,66494725.936738394
andaman & nicobar islands,nicobar,2021,3,8086,30653,103011207.60528868
andaman & nicobar islands,nicobar,2021,4,8087,30484,93324727.86981949
andaman & nicobar islands,nicobar,2022,1,8088,41261,124917985.77118734
andaman & nicobar islands,nicobar,2022,2,8089,62856,177739744.4392096
andaman & nicobar islands,nicobar,2022,3,8090,84324,202744751.41166946
andaman & nicobar islands,nicobar,2022,4,8091,99606,219802765.43140626
andaman & nicobar islands,nicobar,2023,1,8092,104592,211584981.23877203
andaman & nicobar islands,nicobar,2023,2,8093,122520,242166223.0525044
andaman & nicobar islands,nicobar,2023,3,8094,137369,264566063.2321415
andaman & nicobar islands,nicobar,2023,4,8095,162492,323873852.6657955
andaman & nicobar islands,nicobar,2024,1,8096,173104,317503854.3125706
andaman & nicobar islands,nicobar,2024,2,8097,193954,347119892.9916517
andaman & nicobar islands,nicobar,2024,3,8098,211895,374690079.0370774
andaman & nicobar islands,nicobar,2024,4,8099,233903,404225286.5402295
andaman & nicobar islands,nicobar,2025,1,8100,234676,385957865.2164239
andaman & nicobar islands,nicobar,2025,2,8101,253728,421965716.1753806
andaman & nicobar islands,nicobar,2025,3,8102,258638,431576380.38898945
andaman & nicobar islands,nicobar,2025,4,8103,238354,422836415.6753081
andaman & nicobar islands,nicobar,2026,1,8104,283723,453291546.9093506
andaman & nicobar islands,nicobar,2026,2,8105,299997,486479477.9336041
andaman & nicobar islands,north and middle andaman,2018,1,8072,537,1150313.2852460896
andaman & nicobar islands,north and middle andaman,2018,2,8073,1077,1601668.6821066425
andaman & nicobar islands,north and middle andaman,2018,3,8074,1629,5690058.111625673
andaman & nicobar islands,north and middle andaman,2018,4,8075,2767,9185662.901026566
andaman & nicobar islands,north and middle andaman,2019,1,8076,4475,11664508.27869298
andaman & nicobar islands,north and middle andaman,2019,2,8077,5401,12314190.168304605
andaman & nicobar islands,north and middle andaman,2019,3,8078,5217,16517168.124453714
andaman & nicobar islands,north and middle andaman,2019,4,8079,6442,19210234.10844691
andaman & nicobar islands,north and middle andaman,2020,1,8080,7786,20949469.051882304
andaman & nicobar islands,north and middle andaman,2020,2,8081,14624,30441142.025830574
andaman & nicobar islands,north and middle andaman,2020,3,8082,21235,45524401.636429265
andaman & nicobar islands,north and middle andaman,2020,4,8083,35624,83988364.55532306
andaman & nicobar islands,north and middle andaman,2021,1,8084,37769,101073766.52258408
andaman & nicobar islands,north and middle andaman,2021,2,8085,58910,126125811.30673876
andaman & nicobar islands,north and middle andaman,2021,3,8086,70736,163200919.26389474
andaman & nicobar islands,north and middle andaman,2021,4,8087,69156,188810340.09018275
andaman & nicobar islands,north and middle andaman,2022,1,8088,86322,217254062.41694564
andaman & nicobar islands,north and middle andaman,2022,2,8089,106052,267837449.97210306
andaman & nicobar islands,north and middle andaman,2022,3,8090,132171,309818720.2030659
