state,district,min,max,count,internal_missing_periods
chandigarh,chandigarh,8072,8105,34,0
chhattisgarh,balod,8072,8105,34,0
chhattisgarh,balodabazar bhatapara,8072,8105,34,0
chhattisgarh,balrampur ramanujganj,8072,8105,34,0
chhattisgarh,bastar,8072,8105,34,0
chhattisgarh,bemetara,8072,8105,34,0
chhattisgarh,bijapur,8072,8105,34,0
chhattisgarh,bilaspur,8072,8105,34,0
chhattisgarh,dantewada,8072,8105,34,0
chhattisgarh,dhamtari,8072,8105,34,0
chhattisgarh,durg,8072,8105,34,0
chhattisgarh,gariaband,8072,8105,34,0
chhattisgarh,gaurela pendra marwahi,8072,8105,34,0
chhattisgarh,janjgir champa,8072,8105,34,0
chhattisgarh,jashpur,8072,8105,34,0
chhattisgarh,kabirdham,8072,8105,34,0
chhattisgarh,khairagarh chhuikhadan gandai,8072,8105,34,0
chhattisgarh,kondagaon,8072,8105,34,0
chhattisgarh,korba,8072,8105,34,0
chhattisgarh,korea,8072,8105,34,0
chhattisgarh,mahasamund,8072,8105,34,0
chhattisgarh,manendragarh chirmiri bharatpur,8072,8105,34,0
chhattisgarh,mohla manpur ambagarh chouki,8072,8105,34,0
chhattisgarh,mungeli,8072,8105,34,0
chhattisgarh,narayanpur,8072,8105,34,0
chhattisgarh,north bastar kanker,8072,8105,34,0
chhattisgarh,raigarh,8072,8105,34,0
chhattisgarh,raipur,8072,8105,34,0
chhattisgarh,rajnandgaon,8072,8105,34,0
chhattisgarh,sakti,8072,8105,34,0
chhattisgarh,sarangarh bilaigarh,8072,8105,34,0
chhattisgarh,sukma,8072,8105,34,0
chhattisgarh,surajpur,8072,8105,34,0
chhattisgarh,surguja,8072,8105,34,0
dadra & nagar haveli & daman & diu,dadra and nagar haveli,8072,8105,34,0
dadra & nagar haveli & daman & diu,daman,8072,8105,34,0
dadra & nagar haveli & daman & diu,diu,8072,8105,34,0
delhi,central,8072,8105,34,0
delhi,east,8072,8105,34,0
delhi,new delhi,8072,8105,34,0
delhi,north,8072,8105,34,0
