district_key,period_id,transactions,value_inr,registered_users,registered_merchants,state,district,year,quarter,period_label,quarter_start,prior_period,prior_transactions,prior_users,prior_merchants,average_transaction_value,users_per_merchant,transactions_per_merchant,value_per_merchant,merchants_per_1000_users,transaction_qoq,user_qoq,merchant_qoq,transaction_yoy,user_yoy,merchant_yoy,district_share_of_state,district_share_of_mapped_india
andhra pradesh|annamayya,8072,272082.0,352585881.8967415,80883,1.0,andhra pradesh,annamayya,2018,1,2018-Q1,2018-01-01,,,,,1295.880954626699,80883.0,272082.0,352585881.8967415,0.01236353745533672,,,,,,,0.025047066468596717,0.0019437417490883885
arunachal pradesh|kamle,8072,21.0,46234.265646008746,69,,arunachal pradesh,kamle,2018,1,2018-Q1,2018-01-01,,,,,2201.631697428988,,,,,,,,,,,0.00037120837163260976,1.5002306926167903e-07
arunachal pradesh|kra daadi,8072,259.0,615238.2097203198,97,,arunachal pradesh,kra daadi,2018,1,2018-Q1,2018-01-01,,,,,2375.437103167258,,,,,,,,,,,0.004578236583468854,1.8502845208940414e-06
assam|barpeta,8072,63239.0,57602913.02878532,19532,,assam,barpeta,2018,1,2018-Q1,2018-01-01,,,,,910.8764058379373,,,,,,,,,,,0.04879996789831173,0.0004517766131923486
assam|hojai,8072,29710.0,24105401.24157353,12064,,assam,hojai,2018,1,2018-Q1,2018-01-01,,,,,811.3564874309502,,,,,,,,,,,0.022926470157005035,0.0002122469232268802
bihar|lakhisarai,8072,52442.0,49098296.12793856,18203,,bihar,lakhisarai,2018,1,2018-Q1,2018-01-01,,,,,936.2399627767545,,,,,,,,,,,0.007215657655143795,0.0003746433237248082
bihar|pashchim champaran,8072,271616.0,285587330.70970654,71074,,bihar,pashchim champaran,2018,1,2018-Q1,2018-01-01,,,,,1051.4378045096996,,,,,,,,,,,0.03737248902901371,0.001940412665741915
bihar|sheikhpura,8072,26686.0,30889867.760104507,11003,,bihar,sheikhpura,2018,1,2018-Q1,2018-01-01,,,,,1157.5308311513343,,,,,,,,,,,0.003671809621775815,0.00019064360125319843
chhattisgarh|balrampur ramanujganj,8072,36925.0,51653809.9078178,10241,,chhattisgarh,balrampur ramanujganj,2018,1,2018-Q1,2018-01-01,,,,,1398.8844931027163,,,,,,,,,,,0.015994722283106368,0.00026379056345178563
delhi|central,8072,508624.0,864820113.7701893,196272,2.0,delhi,central,2018,1,2018-Q1,2018-01-01,,,,,1700.3132250349754,98136.0,254312.0,432410056.88509464,0.010189940490747534,,,,,,,0.10462526340213947,0.003633587313340583
delhi|north,8072,439894.0,701067776.8736007,161603,,delhi,north,2018,1,2018-Q1,2018-01-01,,,,,1593.7197981186393,,,,,,,,,,,0.09048732584192004,0.0031425832395141446
goa|south goa,8072,92118.0,162488371.67606977,42984,,goa,south goa,2018,1,2018-Q1,2018-01-01,,,,,1763.9155395912826,,,,,,,,,,,0.5023257335739955,0.0006580869092498737
gujarat|botad,8072,64523.0,39709497.15043225,24961,,gujarat,botad,2018,1,2018-Q1,2018-01-01,,,,,615.4316623596586,,,,,,,,,,,0.00972389169064874,0.0004609494522843484
