state,period_id,transactions,value_inr,registered_users,registered_merchants,year,quarter,period_label,quarter_start,retail_transactions,prior_period,prior_transactions,prior_users,prior_merchants,prior_retail,average_transaction_value,users_per_merchant,transactions_per_merchant,value_per_merchant,merchants_per_1000_users,transaction_qoq,user_qoq,merchant_qoq,retail_qoq,transaction_yoy,user_yoy,merchant_yoy,state_contribution
punjab,8072,2152570,3144283659.55326,902434,12.0,2018,1,2018-Q1,2018-01-01,1378870,,,,,,1460.7114563304608,75202.83333333333,179380.83333333334,262023638.296105,0.013297371331310655,,,,,,,,0.01537786467621964
rajasthan,8072,9272437,10593171156.518476,3184469,33.0,2018,1,2018-Q1,2018-01-01,6171468,,,,,,1142.436573741992,96499.06060606061,280982.9393939394,321005186.5611659,0.010362795178725244,,,,,,,,0.06624187896550264
sikkim,8072,52422,76553394.47007194,23332,,2018,1,2018-Q1,2018-01-01,37037,,,,,,1460.3295271083123,,,,,,,,,,,,0.00037450044461122565
tamil nadu,8072,4923891,8755842361.469446,2155558,48.0,2018,1,2018-Q1,2018-01-01,2877514,,,,,,1778.2364316085482,44907.458333333336,102581.0625,182413382.53061345,0.02226801598472414,,,,,,,,0.03517605907285515
telangana,8072,9340974,14059023660.623735,3449556,36.0,2018,1,2018-Q1,2018-01-01,5817357,,,,,,1505.0918309614967,95821.0,259471.5,390528435.017326,0.010436125692697843,,,,,,,,0.066731504255883
andaman & nicobar islands,8073,15062,35517275.86434877,12739,,2018,2,2018-Q2,2018-04-01,10462,8072.0,9089.0,9292.0,,6656.0,2358.0716946188268,,,,,0.6571680052811091,0.3709642703400775,,0.5718149038461537,,,,7.778011121554089e-05
andhra pradesh,8073,14697368,26355488600.11768,3941740,140.0,2018,2,2018-Q2,2018-04-01,8191674,8072.0,10862829.0,2979027.0,30.0,6888562.0,1793.2114512011728,28155.285714285714,104981.2,188253490.00084057,0.03551730961453571,0.3529963511346814,0.3231635698501558,3.666666666666667,0.18917039579523265,,,,0.07589715294222094
arunachal pradesh,8073,100858,239594007.44920865,39517,,2018,2,2018-Q2,2018-04-01,69003,8072.0,56572.0,26660.0,,40846.0,2375.5577886653377,,,,,0.7828254260057979,0.48225806451612896,,0.6893453459335064,,,,0.0005208303317605247
assam,8073,1996901,2752709124.016653,669433,,2018,2,2018-Q2,2018-04-01,1336377,8072.0,1295882.0,449118.0,,917663.0,1378.4905330893484,,,,,0.5409589762030802,0.4905503676094034,,0.456282970981722,,,,0.01031198923558789
bihar,8073,10434579,15988264138.119148,3075993,4.0,2018,2,2018-Q2,2018-04-01,6197442,8072.0,7267806.0,2173873.0,2.0,4816218.0,1532.2385443743487,768998.25,2608644.75,3997066034.529787,0.0013003930763171437,0.43572613248069647,0.4149828439839862,1.0,0.28678602172908296,,,,0.05388412661713898
chandigarh,8073,319560,664062457.5527933,113150,2.0,2018,2,2018-Q2,2018-04-01,171635,8072.0,223975.0,84504.0,,135274.0,2078.0525020427876,56575.0,159780.0,332031228.77639663,0.017675651789659744,0.42676638017635904,0.33898987030199756,,0.26879518606679786,,,,0.001650206635243543
chhattisgarh,8073,3380470,5020388075.196792,967619,17.0,2018,2,2018-Q2,2018-04-01,2124217,8072.0,2308574.0,686395.0,10.0,1589599.0,1485.11540560833,56918.76470588235,198851.17647058822,295316945.59981126,0.01756889850240642,0.46431086896066587,0.40971160920461247,0.7,0.33632255682093404,,,,0.017456734335466705
dadra & nagar haveli & daman & diu,8073,233330,339720413.4266238,62632,1.0,2018,2,2018-Q2,2018-04-01,150355,8072.0,175749.0,46505.0,,124310.0,1455.965428477366,62632.0,233330.0,339720413.4266238,0.01596627921829097,0.32763202066583585,0.3467799161380496,,0.2095165312525138,,,,0.0012049152403347599
delhi,8073,6889986,13364589444.285055,2581867,1582.0,2018,2,2018-Q2,2018-04-01,3933398,8072.0,4861388.0,1954765.0,35.0,2985448.0,1939.7121335638499,1632.027180783818,4355.237673830594,8447907.3604836,0.6127348930057203,0.4172878198572094,0.32080684890511146,44.2,0.3175235341563478,,,,0.035579861728423826
goa,8073,257510,535602446.42051774,128359,1.0,2018,2,2018-Q2,2018-04-01,155786,8072.0,183383.0,97236.0,,115688.0,2079.9287267310697,128359.0,257510.0,535602446.42051774,0.007790649662275337,0.4042195841490215,0.3200769262413099,,0.3466046608118387,,,,0.0013297806691750056
gujarat,8073,8576111,13039616415.945614,3729318,112.0,2018,2,2018-Q2,2018-04-01,5503458,8072.0,6635512.0,2813458.0,23.0,4636584.0,1520.4579810062642,33297.482142857145,76572.41964285714,116425146.57094298,0.030032300812105592,0.29245655798678394,0.325528228962366,3.8695652173913047,0.18696393724345328,,,,0.044287004871652075
haryana,8073,6867153,12521529537.94452,2621706,168.0,2018,2,2018-Q2,2018-04-01,4054740,8072.0,5044397.0,1988481.0,4.0,3258301.0,1823.394576754664,15605.392857142857,40875.91071428572,74532913.91633643,0.0640804117624173,0.3613426936856874,0.3184465931532663,41.0,0.24443383223342474,,,,0.03546195220250533
himachal pradesh,8073,752625,1221455463.8391795,321663,2.0,2018,2,2018-Q2,2018-04-01,495410,8072.0,532148.0,232961.0,,374817.0,1622.9270404772358,160831.5,376312.5,610727731.9195898,0.006217687455504674,0.4143151905109106,0.380759011164959,,0.32173834164405557,,,,0.003886552662567817
jammu & kashmir,8073,1086777,1213266618.9379668,380192,2.0,2018,2,2018-Q2,2018-04-01,571507,8072.0,656163.0,256997.0,2.0,389224.0,1116.3896723412133,190096.0,543388.5,606633309.4689834,0.005260499957916,0.6562607157063107,0.47936357233742033,0.0,0.46832415267301086,,,,0.005612112330798823
jharkhand,8073,3756004,5562125948.332726,1238359,,2018,2,2018-Q2,2018-04-01,2116672,8072.0,2678000.0,880343.0,,1726726.0,1480.862626432966,,,,,0.4025407020164302,0.4066778517009848,,0.22582969156658317,,,,0.019395990495685595
karnataka,8073,16008698,30747418632.82169,5226252,18604.0,2018,2,2018-Q2,2018-04-01,8777546,8072.0,11259403.0,3901200.0,11162.0,6950094.0,1920.669540572362,280.92087723070307,860.4976349172221,1652731.597120065,3.5597211921660112,0.42180699989155723,0.33965241464164864,0.6667263931195127,0.26293917751328255,,,,0.08266885611844423
kerala,8073,2318135,3784132744.672252,1053063,8.0,2018,2,2018-Q2,2018-04-01,1454296,8072.0,1825372.0,776998.0,3.0,1222873.0,1632.4039560561625,131632.875,289766.875,473016593.0840315,0.007596886416102361,0.26995209743548165,0.35529692483120945,1.6666666666666665,0.18924532637485658,,,,0.011970840400520374
ladakh,8073,18412,56386931.460005626,21011,,2018,2,2018-Q2,2018-04-01,11482,8072.0,7733.0,14795.0,,5556.0,3062.5098555293084,,,,,1.3809646967541704,0.42014193984454207,,1.066594672426206,,,,9.507949858588094e-05
lakshadweep,8073,2875,8629831.452342758,1172,,2018,2,2018-Q2,2018-04-01,1202,8072.0,1124.0,862.0,,548.0,3001.6805051626984,,,,,1.5578291814946619,0.3596287703016241,,1.1934306569343067,,,,1.4846489161112737e-05
madhya pradesh,8073,11249274,16791412396.439934,3390239,23.0,2018,2,2018-Q2,2018-04-01,6493926,8072.0,8614129.0,2501837.0,8.0,5540953.0,1492.6663175276851,147401.69565217392,489098.8695652174,730061408.5408667,0.006784182472091201,0.30590962823983703,0.35509987261360343,1.875,0.17198720147960112,,,,0.05809120852569994
maharashtra,8073,21707384,34569981679.03545,8236836,6629.0,2018,2,2018-Q2,2018-04-01,13039678,8072.0,15771297.0,6133954.0,1643.0,10256681.0,1592.5448077500014,1242.5457836777794,3274.6091416503245,5214961.785945913,0.8047993185732968,0.3763854678534049,0.34282650310061014,3.0346926354230064,0.2713350449331513,,,,0.11209684913812593
manipur,8073,184930,296675858.0878379,54326,,2018,2,2018-Q2,2018-04-01,113472,8072.0,104908.0,35579.0,,74310.0,1604.2603043737515,,,,,0.7627826285888588,0.5269119424379549,,0.5270084779975777,,,,0.0009549778228050708
meghalaya,8073,79675,131316474.46133496,31651,,2018,2,2018-Q2,2018-04-01,56085,8072.0,57738.0,22306.0,,42995.0,1648.1515464240347,,,,,0.3799404205202812,0.4189455751815654,,0.3044540062798,,,,0.00041144139962144604
mizoram,8073,31560,94300176.91130026,12467,,2018,2,2018-Q2,2018-04-01,18364,8072.0,22181.0,9312.0,,14367.0,2987.9650478865733,,,,,0.422839367025833,0.3388101374570447,,0.27820700215772254,,,,0.00016297572101729322
nagaland,8073,82859,188284254.35889083,23866,,2018,2,2018-Q2,2018-04-01,58079,8072.0,52459.0,16047.0,,39386.0,2272.3452414208573,,,,,0.5795001810938065,0.48725618495668965,,0.47461026760777947,,,,0.000427883563617614
odisha,8073,9547287,9915788853.374895,2160851,7.0,2018,2,2018-Q2,2018-04-01,4832463,8072.0,7048986.0,1573698.0,12.0,4336997.0,1038.5975464417163,308693.0,1363898.142857143,1416541264.767842,0.003239464451736839,0.35441991231079184,0.37310398818578916,-0.41666666666666663,0.11424172071135863,,,,0.049302154074272186
puducherry,8073,128321,287317471.5783924,63878,,2018,2,2018-Q2,2018-04-01,68910,8072.0,106212.0,47701.0,,65486.0,2239.052622551199,,,,,0.2081591533913305,0.3391333515020649,,0.05228598479064228,,,,0.0006626491602237035
punjab,8073,2932771,5247370432.120748,1225027,12.0,2018,2,2018-Q2,2018-04-01,1731538,8072.0,2152570.0,902434.0,12.0,1378870.0,1789.2192851473053,102085.58333333333,244397.58333333334,437280869.34339565,0.009795702462068182,0.3624509307478967,0.35746990915679144,0.0,0.25576595328058493,,,,0.015144818387313309
rajasthan,8073,11883013,18090200568.25764,4262966,139.0,2018,2,2018-Q2,2018-04-01,7030908,8072.0,9272437.0,3184469.0,33.0,6171468.0,1522.358055844729,30668.820143884892,85489.30215827338,130145327.82919165,0.03260640596242147,0.28154151923598936,0.33867404581423144,3.212121212121212,0.13926022139303007,,,,0.06136383433247365
sikkim,8073,87348,165371421.67374858,32306,,2018,2,2018-Q2,2018-04-01,59274,8072.0,52422.0,23332.0,,37037.0,1893.2479469907564,,,,,0.6662469955362254,0.38462197839876566,,0.6003996003996004,,,,0.00045106474269386966
