State,Period ID,Retail Transactions
Chhattisgarh,8075,3372461
Chhattisgarh,8076,4062272
Chhattisgarh,8077,5256226
Chhattisgarh,8078,6394057
Chhattisgarh,8079,7244686
Chhattisgarh,8080,8600738
Chhattisgarh,8081,8614241
Chhattisgarh,8082,12030721
Chhattisgarh,8083,18163320
Chhattisgarh,8084,19091610
Chhattisgarh,8085,19178737
Chhattisgarh,8086,33321770
Chhattisgarh,8087,42220296
Chhattisgarh,8088,57726019
Chhattisgarh,8089,73440835
Chhattisgarh,8090,87352711
Chhattisgarh,8091,102175844
Chhattisgarh,8092,113977816
Chhattisgarh,8093,136171929
Chhattisgarh,8094,158512662
Chhattisgarh,8095,183166600
Chhattisgarh,8096,209330663
Chhattisgarh,8097,241644172
Chhattisgarh,8098,260777393
Chhattisgarh,8099,296276945
Chhattisgarh,8100,292745236
Chhattisgarh,8101,320942200
Chhattisgarh,8102,346929895
Chhattisgarh,8103,369466099
Chhattisgarh,8104,381331900
Chhattisgarh,8105,402505854
Dadra & Nagar Haveli & Daman & Diu,8072,124310
Dadra & Nagar Haveli & Daman & Diu,8073,150355
Dadra & Nagar Haveli & Daman & Diu,8074,190778
Dadra & Nagar Haveli & Daman & Diu,8075,240461
Dadra & Nagar Haveli & Daman & Diu,8076,285372
Dadra & Nagar Haveli & Daman & Diu,8077,324440
Dadra & Nagar Haveli & Daman & Diu,8078,371757
Dadra & Nagar Haveli & Daman & Diu,8079,375567
Dadra & Nagar Haveli & Daman & Diu,8080,459843
Dadra & Nagar Haveli & Daman & Diu,8081,483124
Dadra & Nagar Haveli & Daman & Diu,8082,633739
Dadra & Nagar Haveli & Daman & Diu,8083,1023837
Dadra & Nagar Haveli & Daman & Diu,8084,969125
Dadra & Nagar Haveli & Daman & Diu,8085,1065450
Dadra & Nagar Haveli & Daman & Diu,8086,1727177
Dadra & Nagar Haveli & Daman & Diu,8087,2297983
Dadra & Nagar Haveli & Daman & Diu,8088,3219540
Dadra & Nagar Haveli & Daman & Diu,8089,4326687
Dadra & Nagar Haveli & Daman & Diu,8090,5333300
Dadra & Nagar Haveli & Daman & Diu,8091,6545310
Dadra & Nagar Haveli & Daman & Diu,8092,7186722
Dadra & Nagar Haveli & Daman & Diu,8093,8303022
Dadra & Nagar Haveli & Daman & Diu,8094,9373489
Dadra & Nagar Haveli & Daman & Diu,8095,11546558
Dadra & Nagar Haveli & Daman & Diu,8096,13145056
Dadra & Nagar Haveli & Daman & Diu,8097,14877323
Dadra & Nagar Haveli & Daman & Diu,8098,15976900
Dadra & Nagar Haveli & Daman & Diu,8099,18263646
Dadra & Nagar Haveli & Daman & Diu,8100,18323342
Dadra & Nagar Haveli & Daman & Diu,8101,19481392
Dadra & Nagar Haveli & Daman & Diu,8102,21544940
Dadra & Nagar Haveli & Daman & Diu,8103,22194792
Dadra & Nagar Haveli & Daman & Diu,8104,23012051
Dadra & Nagar Haveli & Daman & Diu,8105,22891864
Delhi,8072,2985448
Delhi,8073,3933398
Delhi,8074,7857195
Delhi,8075,16093319
Delhi,8076,20659076
Delhi,8077,25329627
Delhi,8078,32091616
Delhi,8079,31670633
Delhi,8080,33050230
Delhi,8081,25679771
Delhi,8082,36733987
Delhi,8083,50818263
Delhi,8084,56615267
Delhi,8085,54742475
Delhi,8086,82693069
Delhi,8087,91396064
Delhi,8088,118196322
Delhi,8089,159256415
Delhi,8090,193226144
Delhi,8091,213906227
Delhi,8092,241528649
Delhi,8093,293401714
Delhi,8094,339588954
Delhi,8095,373762989
Delhi,8096,411667423
Delhi,8097,509081017
Delhi,8098,552938672
Delhi,8099,597843647
Delhi,8100,618162326
Delhi,8101,662259192
Delhi,8102,714113988
Delhi,8103,727159498
Delhi,8104,729639080
Delhi,8105,802878308
Goa,8072,115688
Goa,8073,155786
Goa,8074,206471
Goa,8075,301078
Goa,8076,405891
Goa,8077,527008
Goa,8078,625843
Goa,8079,742233
Goa,8080,920792
Goa,8081,763049
Goa,8082,966368
Goa,8083,1953066
Goa,8084,2615744
Goa,8085,2174178
Goa,8086,3288618
Goa,8087,5639629
Goa,8088,7310623
Goa,8089,8797632
Goa,8090,10069731
Goa,8091,13577360
Goa,8092,14541027
Goa,8093,16228200
Goa,8094,16701945
Goa,8095,21043935
Goa,8096,22126561
Goa,8097,23876060
Goa,8098,23713527
Goa,8099,30230530
Goa,8100,32194383
Goa,8101,30469355
Goa,8102,30620188
Goa,8103,35239184
Goa,8104,36831929
Goa,8105,37488228
Gujarat,8072,4636584
Gujarat,8073,5503458
Gujarat,8074,6110333
Gujarat,8075,8704983
Gujarat,8076,11548425
Gujarat,8077,15025058
Gujarat,8078,21282425
Gujarat,8079,18884739
Gujarat,8080,22371270
Gujarat,8081,21301458
Gujarat,8082,28750957
Gujarat,8083,37351915
Gujarat,8084,36594813
Gujarat,8085,41144828
Gujarat,8086,61450401
Gujarat,8087,71950994
Gujarat,8088,98716618
Gujarat,8089,126999953
Gujarat,8090,157589389
Gujarat,8091,179290320
Gujarat,8092,204120466
Gujarat,8093,245264196
Gujarat,8094,282686065
Gujarat,8095,323807182
Gujarat,8096,369258483
Gujarat,8097,441428904
Gujarat,8098,473594132
Gujarat,8099,522588190
Gujarat,8100,569309965
Gujarat,8101,602292300
Gujarat,8102,684049224
Gujarat,8103,672395110
Gujarat,8104,720203459
Gujarat,8105,757197417
Haryana,8072,3258301
Haryana,8073,4054740
Haryana,8074,4806047
Haryana,8075,7602117
Haryana,8076,10298565
Haryana,8077,14367720
Haryana,8078,19464332
Haryana,8079,21364196
Haryana,8080,25036070
Haryana,8081,20771849
Haryana,8082,32099499
Haryana,8083,44510568
Haryana,8084,46819759
Haryana,8085,52047541
Haryana,8086,77143949
Haryana,8087,85064659
Haryana,8088,112255341
Haryana,8089,148317828
Haryana,8090,182189584
Haryana,8091,197287674
Haryana,8092,219069526
Haryana,8093,273061935
Haryana,8094,306428250
Haryana,8095,339854772
Haryana,8096,373122494
Haryana,8097,476635703
Haryana,8098,513982387
Haryana,8099,546237947
Haryana,8100,552381807
Haryana,8101,627408882
Haryana,8102,676587870
Haryana,8103,679431344
Haryana,8104,682240539
Haryana,8105,768184781
Himachal Pradesh,8072,374817
Himachal Pradesh,8073,495410
Himachal Pradesh,8074,591381
Himachal Pradesh,8075,826781
Himachal Pradesh,8076,1063259
Himachal Pradesh,8077,1399651
Himachal Pradesh,8078,1483897
Himachal Pradesh,8079,1623659
Himachal Pradesh,8080,1973218
Himachal Pradesh,8081,2214649
Himachal Pradesh,8082,2795882
Himachal Pradesh,8083,3543029
Himachal Pradesh,8084,2729674
Himachal Pradesh,8085,3324890
Himachal Pradesh,8086,4599348
Himachal Pradesh,8087,5779795
Himachal Pradesh,8088,7493598
Himachal Pradesh,8089,11288487
Himachal Pradesh,8090,12331466
Himachal Pradesh,8091,15080061
Himachal Pradesh,8092,15826198
Himachal Pradesh,8093,21622495
Himachal Pradesh,8094,20360373
Himachal Pradesh,8095,25051506
Himachal Pradesh,8096,24834607
Himachal Pradesh,8097,34599835
Himachal Pradesh,8098,31103167
Himachal Pradesh,8099,33892927
Himachal Pradesh,8100,36211260
Himachal Pradesh,8101,41619250
Himachal Pradesh,8102,38757665
Himachal Pradesh,8103,39612159
Himachal Pradesh,8104,39046196
Himachal Pradesh,8105,47984389
Jammu & Kashmir,8072,389224
Jammu & Kashmir,8073,571507
Jammu & Kashmir,8074,484480
Jammu & Kashmir,8075,673367
Jammu & Kashmir,8076,772422
Jammu & Kashmir,8077,989235
Jammu & Kashmir,8078,432043
Jammu & Kashmir,8079,75857
Jammu & Kashmir,8080,285108
Jammu & Kashmir,8081,830419
Jammu & Kashmir,8082,1130325
Jammu & Kashmir,8083,2498216
Jammu & Kashmir,8084,1821330
Jammu & Kashmir,8085,2461450
Jammu & Kashmir,8086,3104332
Jammu & Kashmir,8087,4460916
Jammu & Kashmir,8088,6333871
Jammu & Kashmir,8089,10304279
Jammu & Kashmir,8090,13247341
Jammu & Kashmir,8091,18526673
Jammu & Kashmir,8092,21801222
Jammu & Kashmir,8093,31290114
Jammu & Kashmir,8094,35773150
Jammu & Kashmir,8095,41933534
Jammu & Kashmir,8096,45932216
Jammu & Kashmir,8097,68626394
Jammu & Kashmir,8098,72576759
Jammu & Kashmir,8099,77050079
Jammu & Kashmir,8100,80196524
Jammu & Kashmir,8101,98320985
Jammu & Kashmir,8102,101539363
Jammu & Kashmir,8103,98610091
Jammu & Kashmir,8104,93587796
Jammu & Kashmir,8105,117475120
Jharkhand,8072,1726726
Jharkhand,8073,2116672
