metric,count,mean,std,min,10%,25%,50%,75%,90%,95%,max,missing,skewness,iqr,iqr_outliers
transaction_count,783.0,49379675.21200511,111177840.48039779,2390.0,1367336.4000000001,7906492.0,24446442.0,57378639.5,99772707.60000002,141487744.29999998,2113433404.0,0,11.01264217133553,49472147.5,49
transaction_amount,783.0,58105304670.340096,119774977653.2659,2604556.22,1597185096.9120002,9090879407.24,29490281720.86,67391494757.2,131054877151.48204,190624967312.20795,2237234966747.11,0,10.248696191702125,58300615349.96,51
registered_users,783.0,908880.2835249042,1341767.8778286548,120.0,50079.600000000006,257444.0,611315.0,1101086.0,1817077.2000000034,2606994.8,20543058.0,0,6.913970497081665,843642.0,48
registered_merchants,783.0,64757.66155810983,108405.63328430631,1.0,1170.4000000000003,13414.0,38854.0,74654.0,137440.20000000024,193628.59999999998,1517644.0,0,6.679100619123565,61240.0,56
average_transaction_value,783.0,1236.8407417055407,229.87568480443645,753.4580121645062,996.4914662003209,1095.059962132896,1192.2377467639428,1340.9667486647236,1534.5792279560878,1637.0738519576275,2810.480553932156,0,1.4086955030448676,245.9067865318275,29
users_per_merchant,783.0,32.35199734864135,96.88204138717683,6.906392831974228,11.263225060455502,13.141963365380306,16.28773723701633,22.0707832716328,38.94665105388364,76.88966666666656,2044.0,0,13.693059266669053,8.928819906252492,92
merchants_per_100k_users,783.0,5976.174869197755,2397.8672527583094,48.92367906066536,2568.3454517475,4530.876841967305,6139.588240209019,7609.21399412239,8878.457962954439,9510.449668050991,14479.33855384454,0,-0.26292175272383084,3078.3371521550853,3
transactions_per_registered_user,783.0,43.928311600869705,22.896507033839107,5.929460580912863,17.393437839239652,27.62432252164887,40.71834150877563,54.0627266509629,78.13228183629943,92.3131905928805,120.21865012014882,0,0.914775288843793,26.43840412931403,38
tpv_per_registered_user,783.0,54191.52012506997,32260.20730944066,8390.438246887967,21948.182486857084,32632.151758389442,46491.92363770646,64201.29493406689,96361.86684052306,134436.97875220337,172505.0689357165,0,1.5152585366693219,31569.14317567745,64
transactions_per_merchant,783.0,1019.1453307229125,1597.098535299138,109.05958829902492,314.6194009839681,474.76089615173584,710.156262809627,1110.0923375331754,1618.853621340492,2297.1747289020714,27300.125,0,10.802377465454182,635.3314413814396,42
transaction_qoq,783.0,0.08890596664398338,0.10732181746873877,-0.1241487575676087,0.01858774518921512,0.0444005731708524,0.0727569924547966,0.10703836532463636,0.1550980298381721,0.21074928774127066,1.791940448826764,0,7.851877159422667,0.06263779215378396,49
tpv_qoq,783.0,0.055195781562226695,0.13395027212671162,-0.276046095453663,-0.028163622077635318,0.00708170755568735,0.0356817994410365,0.0784519968859006,0.14076357412246415,0.19893631426185854,2.3141531310665897,0,8.513673409450293,0.07137028933021325,60
user_qoq,783.0,0.02831947563865611,0.022561426475063543,-0.1509670894610425,0.010362584861716602,0.0177542716465445,0.0257971230327969,0.03557146008225985,0.048869448249578756,0.06813318032799211,0.2244897959183673,0,0.953901405518495,0.01781718843571535,67
merchant_qoq,783.0,0.03673800476713855,0.0749274367820185,-0.0227272727272727,0.01260148029697316,0.01721153777237555,0.0237826267911291,0.0326110733196497,0.04956533764420128,0.09158069890287861,1.272727272727273,0,10.698133112171027,0.015399535547274149,70
transaction_yoy,783.0,0.2612722552622851,0.15832530591484598,-0.0766588817145211,0.17089274326515255,0.2075084068675642,0.2532790191282004,0.2980947504624514,0.33985696280129657,0.3775136164871927,3.898576698053272,0,15.828654660949,0.09058634359488718,37
