state,district,district_key,year,quarter,period_id,period_label,transaction_count,transaction_amount,registered_users,registered_merchants,average_transaction_value,merchants_per_100k_users,users_per_merchant,transactions_per_registered_user,tpv_per_registered_user,transactions_per_merchant,prior_period_id,prior_transactions,prior_tpv,prior_users,prior_merchants,transaction_qoq,tpv_qoq,user_qoq,merchant_qoq,transaction_yoy,positive_yoy_quarters_last4,average_yoy_last4,growth_percentile,intensity_percentile,low_penetration_percentile,scale_percentile,opportunity_score,equal_weight_score,no_intensity_score,opportunity_percentile,business_segment,opportunity_rank,equal_weight_rank,no_intensity_rank
assam,cachar,assam|cachar,2026,2,8105,2026-Q2,26018006,25000437571.49,716688,43480,960.889838,6066.79615,16.48316,36.30311,34883.293109,598.3902,8104,24892848,26738859327.56,697446,41813,0.0452,-0.0650148,0.02759,0.03987,0.32361,4.0,0.3954525,0.882179675994109,0.40942562592047127,0.5846833578792342,0.5125184094256259,61.56848306332843,59.72017673048601,68.5640648011782,0.7717231222385862,EXPAND,156,170,61
assam,nagaon,assam|nagaon,2026,2,8105,2026-Q2,29307996,29584684211.68,813711,55055,1009.440707,6765.91566,14.77997,36.0177,36357.729233,532.34031,8104,25961915,29611799541.51,807028,52134,0.12888,-0.0009157,0.00828,0.05603,0.37753,4.0,0.390815,0.9808541973490427,0.3284241531664212,0.43151693667157587,0.5670103092783505,59.76435935198822,57.695139911634755,68.51251840942562,0.7437407952871871,DEVELOP,175,200,62
uttar pradesh,siddharthnagar,uttar pradesh|siddharthnagar,2026,2,8105,2026-Q2,36272308,42057498055.47,830190,52702,1159.493299,6348.18536,15.75253,43.69157,50660.087517,688.25297,8104,28885001,33935646528.44,829384,51869,0.25575,0.239331,0.00097,0.01606,0.32649,4.0,0.344035,0.8939617083946981,0.5154639175257731,0.5184094256259205,0.5817378497790869,64.30044182621502,62.73932253313696,68.44624447717233,0.8247422680412371,EXPAND,120,136,63
gujarat,surat,gujarat|surat,2026,2,8105,2026-Q2,201601478,201596061242.64,5936087,396519,999.973131,6679.80439,14.9705,33.96202,33961.102868,508.42829,8104,204111967,207188425996.09,5678566,390252,-0.0123,-0.0269917,0.04535,0.01606,0.28073,4.0,0.321255,0.695139911634757,0.3019145802650957,0.4536082474226804,0.9852724594992637,59.447717231222384,60.89837997054492,68.31369661266568,0.7363770250368189,DEFEND,180,155,64
karnataka,udupi,karnataka|udupi,2026,2,8105,2026-Q2,34716559,44882874883.02,782137,38146,1292.837659,4877.15068,20.50377,44.3868,57384.927299,910.09697,8104,32458111,40415196232.39,785567,37022,0.06958,0.1105445,-0.00437,0.03036,0.27307,4.0,0.20616,0.6553755522827688,0.695139911634757,0.8100147275405007,0.5478645066273933,68.24742268041237,67.7098674521355,68.26215022091311,0.8792341678939617,EXPAND,83,86,65
bihar,nalanda,bihar|nalanda,2026,2,8105,2026-Q2,46158183,59422599132.5,1207639,70735,1287.36868,5857.29676,17.07272,38.22184,49205.597975,652.55083,8104,42733666,57283419084.83,1186407,68455,0.08014,0.0373438,0.0179,0.03331,0.27693,4.0,0.28759,0.6759941089837997,0.4653902798232695,0.6347569955817378,0.748159057437408,62.746686303387335,63.10751104565537,67.96023564064801,0.7879234167893961,EXPAND,145,130,66
bihar,aurangabad,bihar|aurangabad,2026,2,8105,2026-Q2,55540259,64766758939.85,995686,60210,1166.122739,6047.08713,16.53689,55.7809,65047.373308,922.44243,8104,52056676,65204115196.45,983495,58336,0.06692,-0.0067075,0.0124,0.03212,0.29494,4.0,0.33508,0.7643593519882179,0.7054491899852725,0.5891016200294551,0.6686303387334315,68.66715758468335,68.18851251840942,67.90868924889543,0.8880706921944035,EXPAND,77,80,67
telangana,nalgonda,telangana|nalgonda,2026,2,8105,2026-Q2,105596264,170442770836.59,988045,66537,1614.098495,6734.20745,14.84956,106.87394,172505.068936,1587.03073,8104,95056308,149343326067.95,976304,65095,0.11088,0.1412815,0.01203,0.02215,0.32681,4.0,0.2739725,0.8969072164948454,0.9440353460972017,0.4374079528718704,0.6671575846833578,74.78645066273933,73.63770250368188,67.86450662739323,0.9513991163475699,DEVELOP,34,38,68
west bengal,south twenty four parganas,west bengal|south twenty four parganas,2026,2,8105,2026-Q2,118227823,154834767040.57,3352814,238625,1309.630535,7117.15592,14.05056,35.26227,46180.54179,495.45447,8104,113529625,165391055855.79,3301082,233893,0.04138,-0.0638262,0.01567,0.02023,0.29514,4.0,0.3584475,0.7673048600883653,0.28276877761413843,0.36524300441826213,0.9690721649484536,58.60088365243005,59.609720176730484,67.70250368188513,0.7245949926362297,DEFEND,187,174,69
telangana,siddipet,telangana|siddipet,2026,2,8105,2026-Q2,73789970,113459275640.82,698859,42335,1537.59753,6057.73124,16.50783,105.58635,162349.30886,1743.00154,8104,65491328,101174428068.31,693278,41300,0.12671,0.1214225,0.00805,0.02506,0.3203,4.0,0.273255,0.865979381443299,0.96759941089838,0.5876288659793815,0.49779086892488955,74.8159057437408,72.97496318114875,67.65095729013255,0.9528718703976435,EXPAND,33,41,70
andhra pradesh,nandyal,andhra pradesh|nandyal,2026,2,8105,2026-Q2,94934254,144896192540.2,1064099,64306,1526.279361,6043.2347,16.54743,89.21562,136167.962323,1476.28921,8104,89220060,132269790048.44,1053266,62510,0.06405,0.0954595,0.01029,0.02873,0.28831,4.0,0.2993675,0.7349042709867453,0.9175257731958762,0.5905743740795287,0.6980854197349042,73.71134020618557,73.52724594992637,67.51840942562592,0.9410898379970545,EXPAND,40,40,71
maharashtra,hingoli,maharashtra|hingoli,2026,2,8105,2026-Q2,34948727,44828505246.38,538841,31541,1282.693508,5853.48925,17.08383,64.85907,83194.310096,1108.04118,8104,30807593,35695263354.07,531598,30645,0.13442,0.2558671,0.01362,0.02924,0.3269,4.0,0.3596175,0.898379970544919,0.792341678939617,0.6362297496318114,0.36524300441826213,69.97054491899853,67.30486008836523,67.33431516936672,0.9027982326951399,EXPAND,67,90,72
madhya pradesh,morena,madhya pradesh|morena,2026,2,8105,2026-Q2,45334539,57660544335.05,883974,59538,1271.889945,6735.26597,14.84722,51.28492,65228.778601,761.43873,8104,40811012,52823908171.53,856989,58150,0.11084,0.0915615,0.03149,0.02387,0.3301,4.0,0.3367375,0.9101620029455081,0.5876288659793815,0.43593519882179677,0.625920471281296,65.4123711340206,63.99116347569955,67.31222385861561,0.8438880706921944,DEVELOP,107,121,73
kerala,kasargod,kerala|kasargod,2026,2,8105,2026-Q2,12223358,15555412016.37,575308,34362,1272.59727,5972.80066,16.74256,21.24663,27038.407282,355.72312,8104,11362518,14464044166.87,559426,33314,0.07576,0.0754539,0.02839,0.03146,0.32795,4.0,0.2605925,0.9042709867452136,0.13402061855670103,0.6067746686303387,0.3961708394698085,53.571428571428555,51.03092783505154,67.31222385861561,0.6200294550810015,DEVELOP,259,303,73
andhra pradesh,anakapalli,andhra pradesh|anakapalli,2026,2,8105,2026-Q2,97152961,137194912578.21,1005920,60549,1412.153692,6019.26595,16.61332,96.5812,136387.498587,1604.53453,8104,91693396,131407990533.52,994246,59202,0.05954,0.0440378,0.01174,0.02275,0.28689,4.0,0.2692225,0.7319587628865979,0.9499263622974963,0.5979381443298969,0.6715758468335787,74.08689248895433,73.78497790868924,66.99558173784978,0.9455081001472754,EXPAND,38,37,75
maharashtra,beed,maharashtra|beed,2026,2,8105,2026-Q2,110400541,153976872062.71,1411573,87769,1394.711209,6217.81516,16.08282,78.211,109081.763439,1257.85347,8104,99578459,133628126135.52,1392043,85555,0.10868,0.1522789,0.01403,0.02588,0.27941,4.0,0.35246,0.6877761413843888,0.8512518409425626,0.5508100147275405,0.8070692194403535,71.8262150220913,72.42268041237112,66.96612665684832,0.9204712812960235,EXPAND,55,46,76
bihar,pashchim champaran,bihar|pashchim champaran,2026,2,8105,2026-Q2,104473063,110397679459.65,1743350,132309,1056.709512,7589.35383,13.17635,59.92661,63325.023351,789.61418,8104,98737738,111684268305.88,1725092,129585,0.05809,-0.0115199,0.01058,0.02102,0.32114,4.0,0.3487575,0.8689248895434463,0.6126656848306333,0.2916053019145803,0.8792341678939617,66.25920471281297,66.31075110456554,66.94403534609721,0.8541973490427098,DEFEND,100,93,77
jharkhand,pakur,jharkhand|pakur,2026,2,8105,2026-Q2,11376615,16448732639.64,259537,10677,1445.837153,4113.8643,24.30805,43.83427,63377.216503,1065.52543,8104,10592485,16399869650.36,261921,10249,0.07403,0.0029795,-0.0091,0.04176,0.30423,4.0,0.43339,0.8041237113402062,0.7717231222385862,0.8939617083946981,0.13843888070692195,68.53460972017673,65.20618556701031,66.91458026509572,0.8865979381443299,EXPAND,78,109,78
andhra pradesh,ntr,andhra pradesh|ntr,2026,2,8105,2026-Q2,237905762,322775184105.85,2258324,155490,1356.735463,6885.19451,14.52392,105.34616,142926.871479,1530.03899,8104,222832715,303109157908.5,2202153,151376,0.06764,0.064881,0.02551,0.02718,0.2901,4.0,0.27919,0.7422680412371134,0.9278350515463918,0.4005891016200295,0.9219440353460973,73.91752577319588,74.8159057437408,66.75994108983801,0.9440353460972017,DEFEND,39,30,79
