metric,transaction_count,transaction_amount,registered_users,registered_merchants,average_transaction_value,users_per_merchant,merchants_per_100k_users,transactions_per_registered_user,tpv_per_registered_user,transactions_per_merchant,transaction_qoq,tpv_qoq,user_qoq,merchant_qoq,transaction_yoy
transaction_count,1.0,0.9939598278091847,0.9328215294113648,0.9036145737083173,-0.1136090618156308,-0.5172215062936719,0.5172215062936719,0.7297049254484402,0.6744329915874395,0.1115386184458791,-0.13752060044407569,0.08117414881994776,-0.3966431150171213,-0.2193289543920164,-0.036223134931133875
transaction_amount,0.9939598278091847,1.0,0.9237613586164101,0.8937621067997811,-0.0222044089999818,-0.5090514216681176,0.5090514216681176,0.7309899222057639,0.6999994900508929,0.11953669523781527,-0.1251795570802034,0.10918345349134156,-0.41758457505940905,-0.22131927182847136,-0.03741974050989711
registered_users,0.9328215294113648,0.9237613586164101,1.0,0.9707709727588746,-0.136243027945811,-0.5549613398582821,0.5549613398582821,0.4663351847485621,0.41805840277140344,-0.13347360433428743,-0.14664478984997298,0.02001615238799168,-0.33022224382006676,-0.3220628108321639,-0.0647322397224757
registered_merchants,0.9036145737083173,0.8937621067997811,0.9707709727588746,1.0,-0.15349072200389507,-0.7176947500207246,0.7176947500207246,0.447827777684558,0.3968275540506225,-0.25075814153918957,-0.08405798758892591,0.04256139067123709,-0.34725010095086456,-0.35018966079116487,-0.01857205935670232
average_transaction_value,-0.1136090618156308,-0.0222044089999818,-0.136243027945811,-0.15349072200389507,1.0,0.16911434738813066,-0.16911434738813066,-0.06313832379528524,0.17994361662706063,0.12322150249405109,0.08981423653919339,0.21311590603257796,-0.1449219867857188,0.02289078156037652,0.030073073707244016
users_per_merchant,-0.5172215062936719,-0.5090514216681176,-0.5549613398582821,-0.7176947500207246,0.16911434738813066,1.0,-1.0,-0.25715646078521365,-0.20306983363060366,0.5606525218783165,-0.10523597244994949,-0.09212325609904132,0.323299809678994,0.31608922128126526,-0.10848434826204345
merchants_per_100k_users,0.5172215062936719,0.5090514216681176,0.5549613398582821,0.7176947500207246,-0.16911434738813066,-1.0,1.0,0.25715646078521365,0.20306983363060366,-0.5606525218783165,0.10523597244994949,0.09212325609904132,-0.323299809678994,-0.31608922128126526,0.10848434826204345
transactions_per_registered_user,0.7297049254484402,0.7309899222057639,0.4663351847485621,0.447827777684558,-0.06313832379528524,-0.25715646078521365,0.25715646078521365,1.0,0.9528575298185241,0.5484920604923629,-0.09718582585457972,0.16290994158782954,-0.37729932052781134,0.032704482256388466,0.011629664359496921
tpv_per_registered_user,0.6744329915874395,0.6999994900508929,0.41805840277140344,0.3968275540506225,0.17994361662706063,-0.20306983363060366,0.20306983363060366,0.9528575298185241,1.0,0.5713260566595454,-0.06490709727169229,0.22630908935288258,-0.41324970767917363,0.000122675477036726,-0.008484028293976261
transactions_per_merchant,0.1115386184458791,0.11953669523781527,-0.13347360433428743,-0.25075814153918957,0.12322150249405109,0.5606525218783165,-0.5606525218783165,0.5484920604923629,0.5713260566595454,1.0,-0.08484760720880057,0.08346746994649934,0.02043208587782939,0.25310483164500075,-0.012592518266676985
transaction_qoq,-0.13752060044407569,-0.1251795570802034,-0.14664478984997298,-0.08405798758892591,0.08981423653919339,-0.10523597244994949,0.10523597244994949,-0.09718582585457972,-0.06490709727169229,-0.08484760720880057,1.0,0.6747579091606658,-0.040685139623065615,0.07724859165533834,0.35815600603059816
tpv_qoq,0.08117414881994776,0.10918345349134156,0.02001615238799168,0.04256139067123709,0.21311590603257796,-0.09212325609904132,0.09212325609904132,0.16290994158782954,0.22630908935288258,0.08346746994649934,0.6747579091606658,1.0,-0.18760087743243226,-0.05110871602648214,0.1701350705199621
user_qoq,-0.3966431150171213,-0.41758457505940905,-0.33022224382006676,-0.34725010095086456,-0.1449219867857188,0.323299809678994,-0.323299809678994,-0.37729932052781134,-0.41324970767917363,0.02043208587782939,-0.040685139623065615,-0.18760087743243226,1.0,0.12669160843075503,-0.02300330427023383
merchant_qoq,-0.2193289543920164,-0.22131927182847136,-0.3220628108321639,-0.35018966079116487,0.02289078156037652,0.31608922128126526,-0.31608922128126526,0.032704482256388466,0.000122675477036726,0.25310483164500075,0.07724859165533834,-0.05110871602648214,0.12669160843075503,1.0,0.12202680311082391
transaction_yoy,-0.036223134931133875,-0.03741974050989711,-0.0647322397224757,-0.01857205935670232,0.030073073707244016,-0.10848434826204345,0.10848434826204345,0.011629664359496921,-0.008484028293976261,-0.012592518266676985,0.35815600603059816,0.1701350705199621,-0.02300330427023383,0.12202680311082391,1.0
